"date","USW00014819_PRCP","USW00014819_tavg2","USW00014819_TMAX","USW00014819_TMIN","USW00094846_PRCP","USW00094846_tavg2","USW00094846_TMAX","USW00094846_TMIN"
2006-02-06,0,27.5,35,20,0,28,36,20
2006-02-07,0,26,32,20,0,26.5,33,20
2006-02-08,0,27,32,22,0.02,25.5,30,21
2006-02-09,0,24,32,16,0.02,24,32,16
2006-02-10,0,31.5,37,26,0,31,37,25
2006-02-11,0.05,31,35,27,0.06,30.5,35,26
2006-02-12,0,26.5,30,23,0,26.5,30,23
2006-02-13,0,26.5,36,17,0,27.5,39,16
2006-02-14,0,40,55,25,0,40,56,24
2006-02-15,0.08,39,44,34,0.1,37,42,32
2006-02-16,0.76,32.5,42,23,1.09,29.5,37,22
2006-02-17,0,16.5,27,6,0,13.5,24,3
2006-02-18,0,1.5,9,-6,0,0.5,8,-7
2006-02-19,0,11,20,2,0,10.5,20,1
2006-02-20,0,23.5,33,14,0,22.5,33,12
2006-02-21,0,30.5,39,22,0,28,37,19
2006-02-22,0,37.5,47,28,0,35,46,24
2006-02-23,0,35,44,26,0,33,43,23
2006-02-24,0,34.5,47,22,0,31,47,15
2006-02-25,0,33.5,44,23,0,31,41,21
2006-02-26,0,25.5,34,17,0,25,34,16
2006-02-27,0,33.5,39,28,0,32.5,38,27
2006-02-28,0,32,38,26,0,32,38,26
2006-03-01,0,37.5,43,32,0,36,41,31
2006-03-02,0,33,39,27,0,31,37,25
2006-03-03,0,30.5,37,24,0,28,36,20
2006-03-04,0,32.5,39,26,0,31,41,21
2006-03-05,0.22,30,33,27,0.3,30,34,26
2006-03-06,0.01,32.5,36,29,0.02,32,36,28
2006-03-07,0.08,34,43,25,0.15,32,44,20
2006-03-08,0.16,47.5,56,39,0.38,46,53,39
2006-03-09,0.64,48,58,38,0.72,48,58,38
2006-03-10,0.01,46,54,38,0,46,54,38
2006-03-11,0.18,55,66,44,0.06,55,67,43
2006-03-12,0.21,49.5,58,41,0.14,48,56,40
2006-03-13,0.57,47,64,30,0.47,46.5,63,30
2006-03-14,0,34,41,27,0,34.5,42,27
2006-03-15,0,34,43,25,0,34,43,25
2006-03-16,0,35.5,38,33,0.06,35,38,32
2006-03-17,0,34.5,39,30,0,32,39,25
2006-03-18,0,32.5,40,25,0,33,41,25
2006-03-19,0,36.5,47,26,0,36.5,47,26
2006-03-20,0,33.5,37,30,0,31,37,25
2006-03-21,0,30,33,27,0,29.5,33,26
2006-03-22,0,37,49,25,0,37,49,25
2006-03-23,0,37,41,33,0.05,36.5,42,31
2006-03-24,0.04,35.5,39,32,0.07,35.5,40,31
2006-03-25,0,37.5,44,31,0,36.5,45,28
2006-03-26,0,38,45,31,0,37.5,48,27
2006-03-27,0.1,41,51,31,0.12,37.5,50,25
2006-03-28,0.11,41.5,44,39,0.07,41,45,37
2006-03-29,0,45,50,40,0,42.5,51,34
2006-03-30,0,55,70,40,0,52.5,70,35
2006-03-31,0.06,58.5,71,46,0.09,56.5,68,45
2006-04-01,0,43.5,48,39,0,44,48,40
2006-04-02,0.22,49.5,60,39,0.68,49.5,60,39
2006-04-03,0.43,46.5,54,39,0.45,46.5,54,39
2006-04-04,0,46,56,36,0,46,56,36
2006-04-05,0,45,55,35,0,45.5,58,33
2006-04-06,0,49,57,41,0,48.5,58,39
2006-04-07,0,44.5,55,34,0.02,44,55,33
2006-04-08,0,36.5,42,31,0,34.5,43,26
2006-04-09,0,42.5,55,30,0,41.5,56,27
2006-04-10,0,56,70,42,0,52.5,71,34
2006-04-11,0,64,75,53,0.01,61.5,75,48
2006-04-12,0.05,66.5,76,57,0.02,67,76,58
2006-04-13,0.04,66.5,79,54,0.05,66,80,52
2006-04-14,0,71.5,79,64,0.01,72,81,63
2006-04-15,0,57.5,66,49,0,58,67,49
2006-04-16,1.35,55.5,64,47,0.88,54.5,62,47
2006-04-17,0.04,51.5,57,46,0.02,49,56,42
2006-04-18,0,55.5,65,46,0,55.5,66,45
2006-04-19,0,63.5,75,52,0,63,74,52
2006-04-20,0.13,65,74,56,0.09,64,75,53
2006-04-21,0,60,70,50,0,57.5,71,44
2006-04-22,0.01,60,69,51,0.04,57.5,68,47
2006-04-23,0,59.5,72,47,0,56.5,72,41
2006-04-24,0,57,72,42,0,56,73,39
2006-04-25,0.17,41,46,36,0.08,39,46,32
2006-04-26,0,48,63,33,0,45.5,64,27
2006-04-27,0,56.5,69,44,0,54.5,71,38
2006-04-28,0,56,67,45,0,52.5,68,37
2006-04-29,0.16,57,61,53,0.31,56,61,51
2006-04-30,0.68,57.5,60,55,0.94,55.5,59,52
2006-05-01,0.19,57,60,54,0.27,56.5,59,54
2006-05-02,0.05,62.5,70,55,0.1,62,72,52
2006-05-03,0,63.5,73,54,0,61.5,73,50
2006-05-04,0,61,68,54,0,61,68,54
2006-05-05,0,54,60,48,0,52.5,58,47
2006-05-06,0,49,56,42,0,49,58,40
2006-05-07,0,58,71,45,0,54,71,37
2006-05-08,0,63,74,52,0,60,73,47
2006-05-09,0,65,73,57,0,62.5,71,54
2006-05-10,0.24,64.5,73,56,0.11,64,74,54
2006-05-11,0.54,47.5,57,38,0.7,48.5,59,38
2006-05-12,0.13,40.5,45,36,0.14,41.5,47,36
2006-05-13,0.06,46.5,50,43,0.07,46,50,42
2006-05-14,0.08,48.5,56,41,0.11,49,56,42
2006-05-15,0.13,55,61,49,0.16,55.5,62,49
2006-05-16,0.02,56,64,48,0.01,56.5,65,48
2006-05-17,0.26,60.5,73,48,0.16,59,73,45
2006-05-18,0.02,54,62,46,0.03,54,63,45
2006-05-19,0,53,61,45,0,53.5,64,43
2006-05-20,0,57,73,41,0,56,74,38
2006-05-21,0,54,63,45,0,50.5,61,40
2006-05-22,0,50,59,41,0,49,62,36
2006-05-23,0,59,75,43,0,56.5,75,38
2006-05-24,0.48,67.5,79,56,0.38,64.5,80,49
2006-05-25,0.01,69.5,74,65,0.03,69.5,75,64
2006-05-26,0,73,82,64,0,71.5,83,60
2006-05-27,0,74,87,61,0,73,87,59
2006-05-28,0,83.5,93,74,0,83,92,74
2006-05-29,0.14,82.5,92,73,0.14,79.5,91,68
2006-05-30,0.32,78.5,89,68,1.24,78,89,67
2006-05-31,0,73,80,66,0,70.5,76,65
2006-06-01,0,69.5,76,63,0,69.5,79,60
2006-06-02,0,70,80,60,0,68,80,56
2006-06-03,0,65.5,74,57,0,64,74,54
2006-06-04,0,67,77,57,0,64.5,77,52
2006-06-05,0,67.5,81,54,0,64.5,81,48
2006-06-06,0,72.5,83,62,0,67.5,82,53
2006-06-07,0,74,83,65,0,71.5,83,60
2006-06-08,0,71,82,60,0,72.5,85,60
2006-06-09,0.12,60,67,53,0.08,61,68,54
2006-06-10,1.62,55.5,62,49,1.58,56.5,63,50
2006-06-11,0,60,65,55,0,58,64,52
2006-06-12,0,61,69,53,0,59.5,69,50
2006-06-13,0,63,74,52,0,62.5,76,49
2006-06-14,0,67,78,56,0.04,65.5,79,52
2006-06-15,0,74.5,85,64,0,74,86,62
2006-06-16,0,82.5,91,74,0,81,90,72
2006-06-17,0,82.5,92,73,0,82,92,72
2006-06-18,0.02,74,79,69,0.03,72,77,67
2006-06-19,0,77,86,68,0,75,87,63
2006-06-20,0,71,78,64,0,71,79,63
2006-06-21,0.06,80.5,88,73,0.08,78,87,69
2006-06-22,0.2,74.5,82,67,0.13,73.5,83,64
2006-06-23,0,66,72,60,0,63.5,73,54
2006-06-24,0,67,79,55,0,66.5,82,51
2006-06-25,0.6,66.5,72,61,0.86,67,73,61
2006-06-26,0.09,66,71,61,0.8,66,71,61
2006-06-27,0,69.5,79,60,0,70.5,81,60
2006-06-28,0.14,68,77,59,0.45,66.5,77,56
2006-06-29,0,67,77,57,0,68,80,56
2006-06-30,0,73,86,60,0,69,85,53
2006-07-01,0,80,91,69,0,77.5,90,65
2006-07-02,0.01,79.5,85,74,0.01,76.5,84,69
2006-07-03,0.44,77,83,71,0.55,75,83,67
2006-07-04,0,72,78,66,0,70,78,62
2006-07-05,0,70,77,63,0,68.5,77,60
2006-07-06,0,69,78,60,0,66.5,78,55
2006-07-07,0,71.5,84,59,0,68,82,54
2006-07-08,0,76,85,67,0.01,73,84,62
2006-07-09,0,81,89,73,0,79.5,88,71
2006-07-10,0,73.5,80,67,0,69,73,65
2006-07-11,0.36,73,77,69,0.28,72,77,67
2006-07-12,0.01,74.5,80,69,0,74.5,81,68
2006-07-13,0,77.5,86,69,0,76.5,87,66
2006-07-14,0.49,80,88,72,0.11,80.5,89,72
2006-07-15,0,84.5,96,73,0,85.5,97,74
2006-07-16,0,85,94,76,0,84,94,74
2006-07-17,0.08,85,95,75,0.45,83.5,95,72
2006-07-18,0.01,78,83,73,0,74.5,83,66
2006-07-19,0,81,90,72,0.01,76.5,88,65
2006-07-20,1.09,76,81,71,2.05,75,80,70
2006-07-21,0.03,72.5,79,66,0.04,70.5,77,64
2006-07-22,0.02,72,81,63,0.02,72.5,83,62
2006-07-23,0.01,71,80,62,0,71,82,60
2006-07-24,0,79,89,69,0.01,77,88,66
2006-07-25,0,82.5,91,74,0,81.5,90,73
2006-07-26,0.1,79,85,73,0.06,79,86,72
2006-07-27,0.03,80,88,72,0,78.5,88,69
2006-07-28,0,82,93,71,0,80.5,93,68
2006-07-29,0,85,94,76,0,84,94,74
2006-07-30,0,84,90,78,0.1,83.5,90,77
2006-07-31,0,89,99,79,0,87.5,99,76
2006-08-01,0,89,98,80,0,89.5,99,80
2006-08-02,1.38,86.5,97,76,0.26,87,97,77
2006-08-03,0.65,75.5,82,69,0.45,75,83,67
2006-08-04,0,78,89,67,0,77,89,65
2006-08-05,0,76,86,66,0,74.5,86,63
2006-08-06,0,78.5,85,72,0.01,76.5,84,69
2006-08-07,0,79,85,73,0,78.5,86,71
2006-08-08,0,74,77,71,0,73.5,78,69
2006-08-09,0,76.5,83,70,0,77,86,68
2006-08-10,1.11,76,80,72,0,76.5,79,74
2006-08-11,0,72.5,76,69,0,72.5,77,68
2006-08-12,0,70.5,78,63,0,69.5,80,59
2006-08-13,0,73,83,63,0,71,84,58
2006-08-14,0,75,82,68,0,74.5,85,64
2006-08-15,0,72,82,62,0,73.5,86,61
2006-08-16,0,74,82,66,0,72,85,59
2006-08-17,0,74.5,85,64,0,72.5,86,59
2006-08-18,0.23,78,83,73,0.85,78,84,72
2006-08-19,0.03,74.5,80,69,0.01,73.5,81,66
2006-08-20,0,70.5,77,64,0,68.5,78,59
2006-08-21,0,71.5,83,60,0,69.5,84,55
2006-08-22,0,75,86,64,0,75.5,87,64
2006-08-23,0,76.5,87,66,0,75,89,61
2006-08-24,0.61,76,84,68,0.62,75.5,84,67
2006-08-25,0,75.5,82,69,0,75,84,66
2006-08-26,0,76,80,72,0,74,79,69
2006-08-27,0,74.5,77,72,0,75,79,71
2006-08-28,0.81,68.5,73,64,0.6,68.5,73,64
2006-08-29,0.06,66,69,63,0.15,67,71,63
2006-08-30,0.03,69.5,74,65,0,70,76,64
2006-08-31,0,68,74,62,0,68.5,75,62
2006-09-01,0,70.5,75,66,0,70,75,65
2006-09-02,0,68,75,61,0,67,77,57
2006-09-03,0,68,77,59,0.2,65.5,78,53
2006-09-04,0.54,65.5,71,60,0.38,65.5,71,60
2006-09-05,0,68.5,77,60,0,68.5,78,59
2006-09-06,0,69.5,80,59,0,69.5,82,57
2006-09-07,0,72.5,82,63,0,69.5,82,57
2006-09-08,0,72.5,83,62,0,71.5,83,60
2006-09-09,0,68,72,64,0,66.5,70,63
2006-09-10,0.4,63.5,66,61,0.37,62,64,60
2006-09-11,1.16,64,68,60,1.6,63,67,59
2006-09-12,0.16,67.5,72,63,0.18,67.5,72,63
2006-09-13,0.41,63.5,66,61,0.2,62.5,65,60
2006-09-14,0,66,72,60,0,65,73,57
2006-09-15,0.01,67.5,78,57,0,65.5,78,53
2006-09-16,0,70.5,80,61,0,68.5,79,58
2006-09-17,0.32,73,85,61,0.3,70.5,82,59
2006-09-18,0,62.5,72,53,0,61,71,51
2006-09-19,0,52,56,48,0.02,51,55,47
2006-09-20,0,53,62,44,0,52,62,42
2006-09-21,0,58,69,47,0,54,68,40
2006-09-22,0.1,64.5,72,57,1.73,64,71,57
2006-09-23,0.23,66,74,58,0.68,62.5,69,56
2006-09-24,0,59.5,67,52,0,57.5,66,49
2006-09-25,0,66,72,60,0,59.5,72,47
2006-09-26,0,62.5,73,52,0,59,71,47
2006-09-27,0.01,60,68,52,0,58.5,67,50
2006-09-28,0,52,59,45,0,49.5,59,40
2006-09-29,0.04,52.5,61,44,0.01,48,59,37
2006-09-30,0.1,59.5,68,51,0.18,58,68,48
2006-10-01,0.04,63,77,49,0.01,59,74,44
2006-10-02,2.63,72,83,61,1.39,69,77,61
2006-10-03,0,72.5,85,60,0,68.5,82,55
2006-10-04,0.07,66.5,76,57,0.01,65.5,76,55
2006-10-05,0,55,59,51,0,53,60,46
2006-10-06,0,52.5,59,46,0,50,58,42
2006-10-07,0,57.5,69,46,0,53.5,67,40
2006-10-08,0,61.5,73,50,0,57.5,72,43
2006-10-09,0,59.5,69,50,0,56.5,66,47
2006-10-10,0.05,57.5,61,54,0.07,55,58,52
2006-10-11,0.49,46.5,57,36,0.45,44.5,54,35
2006-10-12,0.01,36.5,41,32,0.03,34.5,39,30
2006-10-13,0,43,52,34,0,41,50,32
2006-10-14,0,43.5,52,35,0,41,50,32
2006-10-15,0,43.5,54,33,0.01,41.5,52,31
2006-10-16,0.71,53,57,49,0.5,52,56,48
2006-10-17,0.38,55,59,51,0.38,54,58,50
2006-10-18,0.16,53.5,62,45,0.3,52.5,63,42
2006-10-19,0,42.5,46,39,0,41.5,44,39
2006-10-20,0,44.5,54,35,0,42.5,53,32
2006-10-21,0.21,55.5,62,49,0.28,52.5,58,47
2006-10-22,0.05,42.5,49,36,0.08,41.5,49,34
2006-10-23,0,39,43,35,0.01,37,41,33
2006-10-24,0.11,46,61,31,0,38.5,47,30
2006-10-25,0,41,52,30,0,39,51,27
2006-10-26,0.44,44.5,46,43,0.52,44.5,46,43
2006-10-27,0.01,44,47,41,0,41.5,45,38
2006-10-28,0,46.5,53,40,0,44.5,52,37
2006-10-29,0,45,55,35,0,43.5,54,33
2006-10-30,0,59,71,47,0,54,70,38
2006-10-31,0,49,63,35,0,48.5,62,35
2006-11-01,0,36.5,43,30,0,34.5,42,27
2006-11-02,0,31,36,26,0,29,34,24
2006-11-03,0,32,41,23,0,30.5,40,21
2006-11-04,0,41.5,49,34,0,38,47,29
2006-11-05,0,46.5,54,39,0,43.5,55,32
2006-11-06,0.02,51,56,46,0.02,50,56,44
2006-11-07,0,53.5,57,50,0,50,54,46
2006-11-08,0,56,65,47,0,55,64,46
2006-11-09,0,60.5,71,50,0,57.5,68,47
2006-11-10,0.74,46,51,41,1.34,42.5,48,37
2006-11-11,0.03,40,43,37,0.04,37.5,41,34
2006-11-12,0,41,46,36,0,40,46,34
2006-11-13,0,40.5,44,37,0,38,42,34
2006-11-14,0.05,43.5,47,40,0.02,40,44,36
2006-11-15,0.01,46.5,49,44,0,45,47,43
2006-11-16,0.01,41.5,45,38,0,40,43,37
2006-11-17,0,39,42,36,0,37,40,34
2006-11-18,0,40,45,35,0,37,44,30
2006-11-19,0,39,45,33,0.01,36.5,44,29
2006-11-20,0,37.5,46,29,0,36.5,44,29
2006-11-21,0,42,50,34,0,39,49,29
2006-11-22,0,45,55,35,0,42,54,30
2006-11-23,0,47.5,59,36,0,44,58,30
2006-11-24,0,50.5,62,39,0,45.5,60,31
2006-11-25,0,52.5,61,44,0,47,58,36
2006-11-26,0,56.5,63,50,0,53.5,62,45
2006-11-27,0,59,63,55,0,57,62,52
2006-11-28,0,60,64,56,0.03,57.5,61,54
2006-11-29,1.23,52.5,63,42,1.73,49,60,38
2006-11-30,0.44,35.5,42,29,0.46,32.5,39,26
2006-12-01,0.62,28,36,20,1.23,25.5,33,18
2006-12-02,0,24,31,17,0,21,30,12
2006-12-03,0,15.5,18,13,0,11.5,15,8
2006-12-04,0,18,27,9,0,16,26,6
2006-12-05,0,23,35,11,0,20.5,34,7
2006-12-06,0,29.5,37,22,0,26,35,17
2006-12-07,0,16.5,22,11,0,13,17,9
2006-12-08,0,15.5,24,7,0,12.5,21,4
2006-12-09,0,30.5,38,23,0,27.5,35,20
2006-12-10,0,38.5,44,33,0,36.5,41,32
2006-12-11,0.16,45.5,50,41,0.05,41,45,37
2006-12-12,0.18,46.5,52,41,0.1,44,50,38
2006-12-13,0,42.5,49,36,0,39,45,33
2006-12-14,0.04,46.5,53,40,0.01,42.5,50,35
2006-12-15,0,41.5,47,36,0,37,44,30
2006-12-16,0,47,58,36,0,43.5,55,32
2006-12-17,0.01,51,57,45,0,47.5,54,41
2006-12-18,0,38.5,45,32,0,35,41,29
2006-12-19,0,36,45,27,0,33.5,43,24
2006-12-20,0.21,35.5,42,29,0.21,32,40,24
2006-12-21,0.39,46.5,54,39,0.47,44,50,38
2006-12-22,0.85,49.5,56,43,0.9,47,54,40
2006-12-23,0,39.5,43,36,0,36.5,40,33
2006-12-24,0,38,45,31,0,36.5,44,29
2006-12-25,0,38,43,33,0,33.5,37,30
2006-12-26,0,33.5,36,31,0,31,34,28
2006-12-27,0,35.5,40,31,0,33,38,28
2006-12-28,0,44.5,50,39,0,42,48,36
2006-12-29,0,49.5,56,43,0,45,50,40
2006-12-30,0,50.5,53,48,0,45,50,40
2006-12-31,0.21,52.5,59,46,0.21,49.5,56,43
2007-01-01,0,40,46,34,0,36,43,29
2007-01-02,0,37,44,30,0,34.5,43,26
2007-01-03,0,42.5,50,35,0,40.5,48,33
2007-01-04,1.39,45,50,40,0.66,45.5,52,39
2007-01-05,0.05,49,53,45,0.03,46,50,42
2007-01-06,0.03,40,45,35,0.02,35.5,42,29
2007-01-07,0.05,37,42,32,0.05,34,41,27
2007-01-08,0,35.5,41,30,0,32.5,39,26
2007-01-09,0,31,36,26,0,27.5,33,22
2007-01-10,0,29,37,21,0,26.5,35,18
2007-01-11,0,43,49,37,0.02,40,45,35
2007-01-12,0.04,44.5,52,37,0.19,40.5,48,33
2007-01-13,0,35,37,33,0,31,33,29
2007-01-14,0.49,35.5,37,34,0.43,31.5,33,30
2007-01-15,0.16,30,36,24,0.21,27,33,21
2007-01-16,0,21.5,27,16,0,17,23,11
2007-01-17,0,18.5,24,13,0,15.5,22,9
2007-01-18,0,29,34,24,0,26,30,22
2007-01-19,0,26,30,22,0,22.5,27,18
2007-01-20,0,23,31,15,0,18.5,27,10
2007-01-21,0.04,30.5,33,28,0.08,27.5,29,26
2007-01-22,0,31,34,28,0,28,31,25
2007-01-23,0,28,30,26,0,24,26,22
2007-01-24,0,28,30,26,0,25,28,22
2007-01-25,0,23.5,28,19,0,19.5,24,15
2007-01-26,0,39.5,44,35,0,31.5,43,20
2007-01-27,0,26,35,17,0,24.5,34,15
2007-01-28,0,16,24,8,0.02,15.5,24,7
2007-01-29,0,18,25,11,0.01,17,25,9
2007-01-30,0,13,18,8,0,12.5,18,7
2007-01-31,0,12,20,4,0,11.5,20,3
2007-02-01,0,19.5,26,13,0,17.5,24,11
2007-02-02,0,10.5,13,8,0,9,12,6
2007-02-03,0,3.5,12,-5,0,2.5,11,-6
2007-02-04,0,-0.5,4,-5,0,-2,2,-6
2007-02-05,0,-1,7,-9,0,-2.5,5,-10
2007-02-06,0.08,3,10,-4,0.11,2.5,10,-5
2007-02-07,0,6,12,0,0,4.5,11,-2
2007-02-08,0,4.5,12,-3,0,3.5,11,-4
2007-02-09,0,10.5,19,2,0,9.5,17,2
2007-02-10,0,7,14,0,0,6,13,-1
2007-02-11,0,17,27,7,0,16,27,5
2007-02-12,0.07,28,31,25,0.09,28,31,25
2007-02-13,0.07,23,27,19,0.39,21,27,15
2007-02-14,0,15,22,8,0.03,14,21,7
2007-02-15,0,9,15,3,0,8,14,2
2007-02-16,0,7.5,19,-4,0,7.5,19,-4
2007-02-17,0.05,22,27,17,0.08,21,26,16
2007-02-18,0,19.5,24,15,0,16.5,22,11
2007-02-19,0,29,43,15,0,27.5,42,13
2007-02-20,0,38.5,47,30,0,37.5,45,30
2007-02-21,0,36,48,24,0,35.5,48,23
2007-02-22,0,34,40,28,0,33.5,40,27
2007-02-23,0,29,31,27,0,28,33,23
2007-02-24,0.45,29,32,26,0.43,29,32,26
2007-02-25,0.42,35.5,40,31,0.44,34.5,38,31
2007-02-26,0,31,32,30,0.03,32,34,30
2007-02-27,0,31,33,29,0,31,33,29
2007-02-28,0,32.5,36,29,0.01,31.5,35,28
2007-03-01,0.37,40.5,48,33,1.09,38.5,45,32
2007-03-02,0.01,29.5,33,26,0.06,28.5,32,25
2007-03-03,0,24,27,21,0.02,23.5,27,20
2007-03-04,0,23.5,32,15,0,22.5,31,14
2007-03-05,0,27,34,20,0,26,33,19
2007-03-06,0.01,20,25,15,0.05,20,24,16
2007-03-07,0.01,25.5,28,23,0.03,24.5,28,21
2007-03-08,0,29,39,19,0,26.5,40,13
2007-03-09,0.17,44,57,31,0.28,42,56,28
2007-03-10,0,43,53,33,0,40.5,51,30
2007-03-11,0,41.5,54,29,0,41,54,28
2007-03-12,0,51,63,39,0,49.5,63,36
2007-03-13,0,61,74,48,0,60.5,73,48
2007-03-14,0.21,48.5,63,34,0.16,48,61,35
2007-03-15,0,35.5,40,31,0,33,38,28
2007-03-16,0,32.5,39,26,0,32,39,25
2007-03-17,0,31.5,38,25,0,31.5,39,24
2007-03-18,0,35.5,47,24,0,34,47,21
2007-03-19,0.36,48.5,61,36,0.06,48.5,61,36
2007-03-20,0,36.5,42,31,0,36.5,43,30
2007-03-21,0.87,53.5,70,37,1.07,52,67,37
2007-03-22,0.22,54.5,64,45,0.09,54,64,44
2007-03-23,0.11,48.5,52,45,0.04,48,52,44
2007-03-24,0,56.5,64,49,0,58,64,52
2007-03-25,0,64,78,50,0,63.5,79,48
2007-03-26,0,72,78,66,0,71,79,63
2007-03-27,0,59,74,44,0,59,73,45
2007-03-28,0.32,48,52,44,0.2,47,50,44
2007-03-29,0,54.5,62,47,0,53,60,46
2007-03-30,0,51.5,56,47,0,50.5,55,46
2007-03-31,0.47,54.5,64,45,0.51,54,63,45
2007-04-01,0.03,54.5,62,47,0.09,53.5,61,46
2007-04-02,0,52.5,63,42,0,51,61,41
2007-04-03,0.07,52.5,69,36,0.15,52.5,70,35
2007-04-04,0,32,36,28,0,31.5,35,28
2007-04-05,0,33.5,40,27,0,33.5,40,27
2007-04-06,0,30,36,24,0,29.5,36,23
2007-04-07,0,27,32,22,0,27,32,22
2007-04-08,0,33.5,40,27,0,34,40,28
2007-04-09,0,37.5,42,33,0,36,43,29
2007-04-10,0,40.5,51,30,0,39,52,26
2007-04-11,0.91,38,44,32,1.15,38,43,33
2007-04-12,0.08,35.5,38,33,0.09,35.5,38,33
2007-04-13,0,41.5,52,31,0,41.5,51,32
2007-04-14,0,40.5,46,35,0,42,49,35
2007-04-15,0,43.5,56,31,0,43.5,58,29
2007-04-16,0,48,62,34,0,47,62,32
2007-04-17,0,56,72,40,0,53,70,36
2007-04-18,0,44.5,50,39,0,44.5,50,39
2007-04-19,0,50,58,42,0,49.5,58,41
2007-04-20,0,52.5,66,39,0,53,68,38
2007-04-21,0,60,76,44,0,60,77,43
2007-04-22,0,70.5,83,58,0,67.5,83,52
2007-04-23,0,64,72,56,0,60.5,70,51
2007-04-24,0.19,58.5,67,50,0.3,56,68,44
2007-04-25,1.24,48.5,51,46,1.06,47,49,45
2007-04-26,0.87,53,61,45,0.49,50.5,56,45
2007-04-27,0.02,49.5,54,45,0,48,53,43
2007-04-28,0,56,72,40,0,56,73,39
2007-04-29,0.17,64.5,81,48,0.15,63.5,82,45
2007-04-30,0.03,60,69,51,0.01,59,67,51
2007-05-01,0,68,84,52,0,66.5,83,50
2007-05-02,0,51.5,60,43,0,50.5,59,42
2007-05-03,0,57.5,67,48,0,56,66,46
2007-05-04,0,64.5,78,51,0,57.5,66,49
2007-05-05,0,60,66,54,0,59.5,66,53
2007-05-06,0,60,68,52,0,58.5,68,49
2007-05-07,0,67,84,50,0,65,83,47
2007-05-08,0,70,80,60,0,68,82,54
2007-05-09,0.02,69.5,76,63,0.13,69,77,61
2007-05-10,0,71,83,59,0,70,84,56
2007-05-11,0,61,73,49,0,60.5,70,51
2007-05-12,0,56,65,47,0,55,64,46
2007-05-13,0,56.5,69,44,0,56,69,43
2007-05-14,0,72,90,54,0,73,90,56
2007-05-15,0.6,69,82,56,0.38,68.5,80,57
2007-05-16,0.07,54.5,64,45,0.14,55,66,44
2007-05-17,0,52.5,61,44,0,52.5,62,43
2007-05-18,0,56.5,70,43,0,56.5,71,42
2007-05-19,0,68,80,56,0,68,80,56
2007-05-20,0.11,56.5,69,44,0.07,56,69,43
2007-05-21,0,62.5,79,46,0,62,80,44
2007-05-22,0,73.5,87,60,0,71,87,55
2007-05-23,0,77.5,89,66,0,74.5,89,60
2007-05-24,0,77,88,66,0.02,75.5,88,63
2007-05-25,0.09,61.5,66,57,0,63,70,56
2007-05-26,0.28,60,70,50,1.01,57,65,49
2007-05-27,0.08,67,75,59,0.04,66,75,57
2007-05-28,0,65,76,54,0,64.5,79,50
2007-05-29,0,76.5,88,65,0,74,88,60
2007-05-30,0,79.5,89,70,0,76.5,87,66
2007-05-31,0.53,74,80,68,0.01,71.5,78,65
2007-06-01,0.21,76.5,86,67,0.19,73.5,85,62
2007-06-02,0,74.5,81,68,0.04,73,81,65
2007-06-03,0.32,70.5,77,64,0.01,70,78,62
2007-06-04,0.31,64,72,56,0.39,64.5,71,58
2007-06-05,0.27,57,63,51,0.42,55.5,64,47
2007-06-06,0,60.5,73,48,0.01,57.5,71,44
