Year ,Month ,Day ,Max,Min,Rain,Snow,X.7,,,X.6,,Evaporation,X.8,,,
2017,5,23,62,55,0.33,0,0,,,,,,,,,
2017,5,24,62,53,0.17,0,0,,,,,,,,,
2017,5,25,69,52,0,0,0,,,,,,,,,
2017,5,26,71,52,0.53,0,0,,,,,,,,,
2017,5,27,78,52,0,0,0,,,,,,,,,
2017,5,28,77,56,T,0,0,,,,,,,,,
2017,5,29,77,55,0,0,0,,,,,,,,,
2017,5,30,74,54,T,0,0,,,,,,,,,
2017,5,31,74,52,0,0,0,,,,,,,,,
2017,6,1,81,51,0,0,0,,,,,,,,,
2017,6,2,86,53,0,0,0,,,,,,,,,
2017,6,3,84,57,T,0,0,,,,,,,,,
2017,6,4,92,66,0,0,0,,,,,,,,,
2017,6,5,75,59,0,0,0,,,,,,,,,
2017,6,6,76,54,0,0,0,,,,,,,,,
2017,6,7,77,56,0,0,0,,,,,,,,,
2017,6,8,83,53,0.06,0,0,,,,,,,,,
2017,6,9,87,65,T,0,0,,,,,,,,,
2017,6,10,90,64,0,0,0,,,,,,,,,
2017,6,11,93,73,0,0,0,,,,,,,,,
2017,6,12,95,73,0,0,0,,,,,,,,,
2017,6,13,88,68,0,0,0,,,,,,,,,
2017,6,14,92,68,0.59,0,0,,,,,,,,,
2017,6,15,91,68,0.07,0,0,,,,,,,,,
2017,6,16,86,67,0.22,0,0,,,,,,,,,
2017,6,17,87,69,0.42,0,0,,,,,,,,,
2017,6,18,79,69,T,0,0,,,,,,,,,
2017,6,19,80,62,0.03,T,0,,,,,,,,,
2017,6,20,80,58,T,0,0,,,,,,,,,
2017,6,21,80,55,0,0,0,,,,,,,,,
2017,6,22,88,68,T,0,0,,,,,,,,,
2017,6,23,83,66,0.71,0,0,,,,,,,,,
2017,6,24,75,59,0.02,0,0,,,,,,,,,
2017,6,25,72,54,0,0,0,,,,,,,,,
2017,6,26,75,54,0,0,0,,,,,,,,,
2017,6,27,78,50,0,0,0,,,,,,,,,
2017,6,28,80,58,1.3,0,0,,,,,,,,,
2017,6,29,81,66,0.02,0,0,,,,,,,,,
2017,6,30,84,64,0,0,0,,,,,,,,,
2017,7,1,82,66,0,0,0,,,,,,,,,
2017,7,2,89,62,0,0,0,,,,,,,,,
2017,7,3,80,66,0.04,0,0,,,,,,,,,
2017,7,4,83,64,0,0,0,,,,,,,,,
2017,7,5,89,65,0,0,0,,,,,,,,,
2017,7,6,93,69,0,0,0,,,,,,,,,
2017,7,7,89,63,T,0,0,,,,,,,,,
2017,7,8,80,62,0,0,0,,,,,,,,,
2017,7,9,86,63,0,0,0,,,,,,,,,
2017,7,10,84,67,0.73,0,0,,,,,,,,,
2017,7,11,85,70,0.56,0,0,,,,,,,,,
2017,7,12,81,68,1.77,T,0,,,,,,,,,
2017,7,13,83,72,T,0,0,,,,,,,,,
2017,7,14,73,63,0,0,0,,,,,,,,,
2017,7,15,81,60,0,0,0,,,,,,,,,
2017,7,16,78,60,T,0,0,,,,,,,,,
2017,7,17,79,56,0,0,0,,,,,,,,,
2017,7,18,89,60,0,0,0,,,,,,,,,
2017,7,19,88,70,0.48,0,0,,,,,,,,,
2017,7,20,88,69,1.77,0,0,,,,,,,,,
2017,7,21,89,72,1.43,T,0,,,,,,,,,
2017,7,22,88,72,0.66,0,0,,,,,,,,,
2017,7,23,90,70,0.21,0,0,,,,,,,,,
2017,7,24,74,66,0,0,0,,,,,,,,,
2017,7,25,82,61,0,0,0,,,,,,,,,
2017,7,26,85,65,0.03,0,0,,,,,,,,,
2017,7,27,82,70,T,0,0,,,,,,,,,
2017,7,28,79,67,0,0,0,,,,,,,,,
2017,7,29,79,64,0,0,0,,,,,,,,,
2017,7,30,84,62,0,0,0,,,,,,,,,
2017,7,31,86,65,0,0,0,,,,,,,,,
2017,8,1,86,67,0.92,0,0,,,,,,,,,
2017,8,2,87,66,T,0,0,,,,,,,,,
2017,8,3,84,61,0.88,0,0,,,,,,,,,
2017,8,4,68,56,T,0,0,,,,,,,,,
2017,8,5,80,60,0,0,0,,,,,,,,,
2017,8,6,77,63,0,0,0,,,,,,,,,
2017,8,7,76,61,T,0,0,,,,,,,,,
2017,8,8,84,58,0,0,0,,,,,,,,,
2017,8,9,83,61,0,0,0,,,,,,,,,
2017,8,10,84,62,0.03,0,0,,,,,,,,,
2017,8,11,78,65,0,0,0,,,,,,,,,
2017,8,12,77,60,0,0,0,,,,,,,,,
2017,8,13,80,57,T,0,0,,,,,,,,,
2017,8,14,83,62,0,0,0,,,,,,,,,
2017,8,15,84,68,0,0,0,,,,,,,,,
2017,8,16,88,67,0.17,0,0,,,,,,,,,
2017,8,17,82,72,0.02,0,0,,,,,,,,,
2017,8,18,82,67,0,0,0,,,,,,,,,
2017,8,19,86,63,0,0,0,,,,,,,,,
2017,8,20,90,63,T,0,0,,,,,,,,,
2017,8,21,87,71,0.03,0,0,,,,,,,,,
2017,8,22,82,64,0.02,0,0,,,,,,,,,
2017,8,23,79,60,0,0,0,,,,,,,,,
2017,8,24,75,56,0,0,0,,,,,,,,,
2017,8,25,74,52,0,0,0,,,,,,,,,
2017,8,26,78,56,T,0,0,,,,,,,,,
2017,8,27,78,62,0.01,0,0,,,,,,,,,
2017,8,28,80,64,0.36,0,0,,,,,,,,,
2017,8,29,76,61,0.07,0,0,,,,,,,,,
2017,8,30,82,60,0,0,0,,,,,,,,,
2017,8,31,73,64,0,0,0,,,,,,,,,
2017,9,1,69,50,0,0,0,,,,,,,,,
2017,9,2,75,50,0.25,0,0,,,,,,,,,
2017,9,3,84,57,0,0,0,,,,,,,,,
2017,9,4,82,62,T,0,0,,,,,,,,,
2017,9,5,70,54,T,0,0,,,,,,,,,
2017,9,6,67,49,T,0,0,,,,,,,,,
2017,9,7,71,52,0,0,0,,,,,,,,,
2017,9,8,69,58,T,0,0,,,,,,,,,
2017,9,9,72,54,0,0,0,,,,,,,,,
2017,9,10,70,50,0,0,0,,,,,,,,,
2017,9,11,75,52,0,0,0,,,,,,,,,
2017,9,12,77,54,0,0,0,,,,,,,,,
2017,9,13,77,58,T,0,0,,,,,,,,,
2017,9,14,81,59,0,0,0,,,,,,,,,
2017,9,15,87,62,0,0,0,,,,,,,,,
2017,9,16,88,65,0,0,0,,,,,,,,,
2017,9,17,86,63,0,0,0,,,,,,,,,
2017,9,18,77,58,0,0,0,,,,,,,,,
2017,9,19,79,64,0.07,0,0,,,,,,,,,
2017,9,20,92,62,0,0,0,,,,,,,,,
2017,9,21,94,72,0,0,0,,,,,,,,,
2017,9,22,94,71,0,0,0,,,,,,,,,
2017,9,23,95,72,0,0,0,,,,,,,,,
2017,9,24,93,70,0,0,0,,,,,,,,,
2017,9,25,92,67,0,0,0,,,,,,,,,
2017,9,26,92,70,0,0,0,,,,,,,,,
2017,9,27,72,56,0,0,0,,,,,,,,,
2017,9,28,74,53,0,0,0,,,,,,,,,
2017,9,29,70,56,0,0,0,,,,,,,,,
2017,9,30,68,53,0,0,0,,,,,,,,,
2017,10,1,72,48,0,0,0,,,,,,,,,
2017,10,2,83,58,0,0,0,,,,,,,,,
2017,10,3,78,67,T,0,0,,,,,,,,,
2017,10,4,76,58,0.03,0,0,,,,,,,,,
2017,10,5,77,54,0.01,0,0,,,,,,,,,
2017,10,6,69,60,0.3,0,0,,,,,,,,,
2017,10,7,79,60,0.43,0,0,,,,,,,,,
2017,10,8,78,54,0,0,0,,,,,,,,,
2017,10,9,81,52,0,0,0,,,,,,,,,
2017,10,10,63,58,0.78,0,0,,,,,,,,,
2017,10,11,62,56,0.79,0,0,,,,,,,,,
2017,10,12,60,56,T,0,0,,,,,,,,,
2017,10,13,73,55,0,0,0,,,,,,,,,
2017,10,14,66,62,4.19,0,0,,,,,,,,,
2017,10,15,68,47,0.2,0,0,,,,,,,,,
2017,10,16,63,43,0,0,0,,,,,,,,,
2017,10,17,70,49,0,0,0,,,,,,,,,
2017,10,18,71,47,0,0,0,,,,,,,,,
2017,10,19,70,51,0,0,0,,,,,,,,,
2017,10,20,78,51,0,0,0,,,,,,,,,
2017,10,21,77,60,0,0,0,,,,,,,,,
2017,10,22,70,51,0.37,0,0,,,,,,,,,
2017,10,23,54,50,0.73,0,0,,,,,,,,,
2017,10,24,50,42,0.87,0,0,,,,,,,,,
2017,10,25,53,38,0,0,0,,,,,,,,,
2017,10,26,60,36,0,0,0,,,,,,,,,
2017,10,27,52,38,T,0,0,,,,,,,,,
2017,10,28,40,36,T,T,0,,,,,,,,,
2017,10,29,46,33,0,0,0,,,,,,,,,
2017,10,30,50,37,0,0,0,,,,,,,,,
2017,10,31,40,34,0,0,0,,,,,,,,,
2017,11,1,44,36,0.23,0,0,,,,,,,,,
2017,11,2,51,44,0.02,0,0,,,,,,,,,
2017,11,3,48,38,0,0,0,,,,,,,,,
2017,11,4,50,42,0.48,0,0,,,,,,,,,
2017,11,5,52,42,0.02,0,0,,,,,,,,,
2017,11,6,43,32,0,0,0,,,,,,,,,
2017,11,7,45,32,0,0,0,,,,,,,,,
2017,11,8,46,29,0,0,0,,,,,,,,,
2017,11,9,46,21,0,0,0,,,,,,,,,
2017,11,10,30,18,T,0.1,0,,,,,,,,,
2017,11,11,38,26,0,0,0,,,,,,,,,
2017,11,12,40,36,0.13,T,0,,,,,,,,,
2017,11,13,40,31,0,0,0,,,,,,,,,
2017,11,14,49,30,0,0,0,,,,,,,,,
2017,11,15,52,35,0.17,0,0,,,,,,,,,
2017,11,16,38,33,0,0,0,,,,,,,,,
2017,11,17,48,35,0.14,0,0,,,,,,,,,
2017,11,18,48,35,0.54,T,0,,,,,,,,,
2017,11,19,37,30,0,0,0,,,,,,,,,
2017,11,20,52,30,0,0,0,,,,,,,,,
2017,11,21,44,27,0.02,0,0,,,,,,,,,
2017,11,22,35,22,0,0,0,,,,,,,,,
2017,11,23,46,32,0,0,0,,,,,,,,,
2017,11,24,63,32,0,0,0,,,,,,,,,
2017,11,25,55,32,0,0,0,,,,,,,,,
2017,11,26,49,27,0,0,0,,,,,,,,,
2017,11,27,57,31,0,0,0,,,,,,,,,
2017,11,28,61,43,0,0,0,,,,,,,,,
2017,11,29,47,34,0,0,0,,,,,,,,,
2017,11,30,54,39,0,0,0,,,,,,,,,
2017,12,1,53,28,0,0,0,,,,,,,,,
2017,12,2,54,33,0,0,0,,,,,,,,,
2017,12,3,58,29,0,0,0,,,,,,,,,
2017,12,4,65,44,0.16,0,0,,,,,,,,,
2017,12,5,44,27,0,0,0,,,,,,,,,
2017,12,6,35,26,0,0,0,,,,,,,,,
2017,12,7,29,19,T,T,0,,,,,,,,,
2017,12,8,37,18,0.01,T,0,,,,,,,,,
2017,12,9,32,20,0.03,0.6,1.2,,,,,,,,,
2017,12,10,35,20,0,0,0,,,,,,,,,
2017,12,11,39,23,0.08,1.4,0,,,,,,,,,
2017,12,12,31,17,T,T,1.2,,,,,,,,,
2017,12,13,38,22,T,T,1.2,,,,,,,,,
2017,12,14,27,16,T,T,0,,,,,,,,,
2017,12,15,37,21,T,T,0,,,,,,,,,
2017,12,16,46,27,0,0,0,,,,,,,,,
2017,12,17,42,29,0,0,0,,,,,,,,,
2017,12,18,46,39,0.01,0,0,,,,,,,,,
2017,12,19,50,35,0,0,0,,,,,,,,,
2017,12,20,37,27,0,0,0,,,,,,,,,
2017,12,21,40,32,0,0,0,,,,,,,,,
2017,12,22,39,33,T,0,0,,,,,,,,,
2017,12,23,33,19,0,0,0,,,,,,,,,
2017,12,24,22,18,0.18,1.8,0,,,,,,,,,
2017,12,25,21,2,0.01,0.1,2,,,,,,,,,
2017,12,26,5,-3,0,0,1.2,,,,,,,,,
2017,12,27,7,-4,0,0,1.2,,,,,,,,,
2017,12,28,15,0,0.03,0.6,1.2,,,,,,,,,
2017,12,29,15,9,0.08,0.8,2,,,,,,,,,
2017,12,30,15,-1,T,T,2,,,,,,,,,
2017,12,31,13,-1,0,0,2,,,,,,,,,
2018,1,1,1,-9,0,0,1.2,,,,,,,,,
2018,1,2,8,-9,0,0,1.2,,,,,,,,,
2018,1,3,17,6,T,0.1,1.2,,,,,,,,,
2018,1,4,12,0,0,0,1.2,,,,,,,,,
2018,1,5,11,-1,0,0,1.2,,,,,,,,,
2018,1,6,17,-2,0,0,1.2,,,,,,,,,
2018,1,7,33,8,0.03,T,1,,,,,,,,,
2018,1,8,37,31,T,0,1.2,,,,,,,,,
2018,1,9,36,26,0,0,0,,,,,,,,,
2018,1,10,56,30,0.01,0,0,,,,,,,,,
2018,1,11,59,23,0.36,0,0,,,,,,,,,
2018,1,12,23,14,T,T,0,,,,,,,,,
2018,1,13,16,6,0,0,0,,,,,,,,,
2018,1,14,21,5,0.08,0.8,0,,,,,,,,,
2018,1,15,24,10,0.14,2.3,2,,,,,,,,,
2018,1,16,26,9,0.01,0.6,3.1,,,,,,,,,
2018,1,17,20,4,0,0,3.1,,,,,,,,,
2018,1,18,32,16,0,0,2,,,,,,,,,
2018,1,19,40,28,0,0,2,,,,,,,,,
2018,1,20,45,32,0,0,0,,,,,,,,,
2018,1,21,44,36,T,0,0,,,,,,,,,
2018,1,22,54,38,0.81,0,0,,,,,,,,,
2018,1,23,39,28,0.07,0.5,0,,,,,,,,,
2018,1,24,30,27,0.02,0.3,1.2,,,,,,,,,
2018,1,25,43,24,0,0,1.2,,,,,,,,,
2018,1,26,51,33,0,0,0,,,,,,,,,
2018,1,27,50,36,0,0,0,,,,,,,,,
2018,1,28,40,28,0.01,T,0,,,,,,,,,
2018,1,29,30,17,T,T,0,,,,,,,,,
2018,1,30,31,15,0,0,0,,,,,,,,,
2018,1,31,42,31,0,0,0,,,,,,,,,
2018,2,1,35,8,0,0,0,,,,,,,,,
2018,2,2,22,5,0,0,0,,,,,,,,,
2018,2,3,41,22,0.03,0.8,0,,,,,,,,,
2018,2,4,35,4,0.08,1.1,1.2,,,,,,,,,
2018,2,5,12,-3,0.22,2.2,2,,,,,,,,,
2018,2,6,21,3,0.02,0.2,3.9,,,,,,,,,
2018,2,7,20,8,0.11,1.7,3.9,,,,,,,,,
2018,2,8,21,7,0.15,1.6,3.9,,,,,,,,,
2018,2,9,28,18,0.57,6.2,7.9,,,,,,,,,
2018,2,10,22,14,0.05,0.8,9.8,,,,,,,,,
2018,2,11,22,11,0.39,3.7,11.8,,,,,,,,,
2018,2,12,27,4,0,0,11.8,,,,,,,,,
2018,2,13,35,7,0,0,11,,,,,,,,,
2018,2,14,44,24,T,0,9.8,,,,,,,,,
2018,2,15,48,38,T,0,3.9,,,,,,,,,
2018,2,16,37,20,0,0,0,,,,,,,,,
2018,2,17,35,17,0.11,2,0,,,,,,,,,
2018,2,18,41,12,0.02,0,2,,,,,,,,,
2018,2,19,60,37,0.52,0,0,,,,,,,,,
2018,2,20,66,34,2.1,0,0,,,,,,,,,
2018,2,21,34,27,0.04,T,0,,,,,,,,,
2018,2,22,40,29,0,0,0,,,,,,,,,
2018,2,23,44,33,0.06,0,0,,,,,,,,,
2018,2,24,50,33,0.16,0,0,,,,,,,,,
2018,2,25,50,34,0.01,0,0,,,,,,,,,
2018,2,26,53,28,0,0,0,,,,,,,,,
2018,2,27,62,39,0,0,0,,,,,,,,,
2018,2,28,59,37,0,0,0,,,,,,,,,
2018,3,1,46,34,0.81,0,0,,,,,,,,,
2018,3,2,48,30,0,0,0,,,,,,,,,
2018,3,3,43,33,0,0,0,,,,,,,,,
2018,3,4,46,32,0,0,0,,,,,,,,,
2018,3,5,40,33,0.11,0.4,0,,,,,,,,,
2018,3,6,41,31,0.07,T,0,,,,,,,,,
2018,3,7,34,25,T,T,0,,,,,,,,,
2018,3,8,34,24,0,0,0,,,,,,,,,
2018,3,9,41,23,0,0,0,,,,,,,,,
2018,3,10,41,23,0,0,0,,,,,,,,,
2018,3,11,40,28,0,0,0,,,,,,,,,
2018,3,12,46,30,T,T,0,,,,,,,,,
2018,3,13,35,19,0.22,2.2,0,,,,,,,,,
2018,3,14,48,22,0,0,1.2,,,,,,,,,
2018,3,15,50,28,0,0,0,,,,,,,,,
2018,3,16,38,29,0,0,0,,,,,,,,,
2018,3,17,46,30,T,T,0,,,,,,,,,
2018,3,18,57,27,0,0,0,,,,,,,,,
2018,3,19,46,33,0,0,0,,,,,,,,,
2018,3,20,37,29,0,0,0,,,,,,,,,
2018,3,21,40,25,0,0,0,,,,,,,,,
2018,3,22,50,22,0,0,0,,,,,,,,,
2018,3,23,43,25,0,0,0,,,,,,,,,
2018,3,24,40,32,0,0,0,,,,,,,,,
2018,3,25,41,27,0,0,0,,,,,,,,,
2018,3,26,53,31,0.23,0,0,,,,,,,,,
2018,3,27,51,39,0.15,0,0,,,,,,,,,
2018,3,28,54,39,0.01,0,0,,,,,,,,,
2018,3,29,50,35,0.05,0,0,,,,,,,,,
2018,3,30,49,33,0,0,0,,,,,,,,,
2018,3,31,58,32,0.09,0,0,,,,,,,,,
2018,4,1,35,24,0,0,0,,,,,,,,,
2018,4,2,44,21,0,0,0,,,,,,,,,
2018,4,3,40,34,0.2,T,0,,,,,,,,,
2018,4,4,35,26,0.01,0.2,0,,,,,,,,,
2018,4,5,42,23,0.07,T,0,,,,,,,,,
2018,4,6,38,25,0,0,0,,,,,,,,,
2018,4,7,39,20,0,0,0,,,,,,,,,
2018,4,8,39,21,0.01,T,0,,,,,,,,,
2018,4,9,39,30,0.13,2,1.2,,,,,,,,,
2018,4,10,46,28,T,0,0,,,,,,,,,
2018,4,11,66,39,0.05,0,0,,,,,,,,,
2018,4,12,73,42,0.03,0,0,,,,,,,,,
2018,4,13,47,39,0.07,0,0,,,,,,,,,
2018,4,14,39,36,0.96,0,0,,,,,,,,,
2018,4,15,37,28,0.74,0.2,0,,,,,,,,,
2018,4,16,35,27,0.01,0.3,0,,,,,,,,,
2018,4,17,43,29,0,0,0,,,,,,,,,
2018,4,18,37,30,0.41,0.4,0,,,,,,,,,
2018,4,19,55,31,0.01,0.1,0,,,,,,,,,
2018,4,20,61,31,0,0,0,,,,,,,,,
2018,4,21,55,39,0,0,0,,,,,,,,,
2018,4,22,62,42,0,0,0,,,,,,,,,
2018,4,23,63,43,T,0,0,,,,,,,,,
2018,4,24,65,48,T,0,0,,,,,,,,,
2018,4,25,53,38,0,0,0,,,,,,,,,
2018,4,26,66,36,0,0,0,,,,,,,,,
2018,4,27,58,39,0.02,0,0,,,,,,,,,
2018,4,28,50,33,0,0,0,,,,,,,,,
2018,4,29,59,31,0,0,0,,,,,,,,,
2018,4,30,80,40,0,0,0,,,,,,,,,
2018,5,1,86,60,0,0,0,,,,,,,,,
2018,5,2,86,63,1.32,0,0,,,,,,,,,
2018,5,3,70,54,0.57,0,0,,,,,,,,,
2018,5,4,74,61,0,0,0,,,,,,,,,
2018,5,5,82,57,0,0,0,,,,,,,,,
2018,5,6,68,50,T,0,0,,,,,,,,,
2018,5,7,75,46,0,0,0,,,,,,,,,
2018,5,8,81,57,0,0,0,,,,,,,,,
2018,5,9,81,57,0.25,0,0,,,,,,,,,
2018,5,10,73,50,0,0,0,,,,,,,,,
2018,5,11,52,45,0.04,0,0,,,,,,,,,
2018,5,12,50,44,0.33,0,0,,,,,,,,,
2018,5,13,67,45,0.91,0,0,,,,,,,,,
2018,5,14,83,53,1.54,0,0,,,,,,,,,
2018,5,15,71,51,0,0,0,,,,,,,,,
2018,5,16,79,47,0,0,0,,,,,,,,,
2018,5,17,69,52,0,0,0,,,,,,,,,
2018,5,18,65,52,0.1,0,0,,,,,,,,,
2018,5,19,69,54,0.02,0,0,,,,,,,,,
2018,5,20,55,44,0.27,0,0,,,,,,,,,
2018,5,21,64,49,1.96,0,0,,,,,,,,,
2018,5,22,67,54,T,0,0,,,,,,,,,
2018,5,23,80,52,0,0,0,,,,,,,,,
2018,5,24,87,58,0,0,0,,,,,,,,,
2018,5,25,89,67,0,0,0,,,,,,,,,
2018,5,26,90,70,0,0,0,,,,,,,,,
2018,5,27,97,70,0,0,0,,,,,,,,,
2018,5,28,95,70,0,0,0,,,,,,,,,
2018,5,29,87,66,0,0,0,,,,,,,,,
