"PROGRAM","SITE.NAME","HOURS.OF.OPERATION","ADDRESS","CITY","STATE","ZIP","PHONE","LOCATION","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","LATITUDE","LONGITUDE","community"
"Satellite Senior Center","Kelvyn Park","Mon - Fri 8:30 a.m. to 4:30 p.m. ","2715 N. Cicero Avenue","Chicago","IL",60639,"312-744-4016","2715 N Cicero Avenue
Chicago, IL 60639
(41.92990843974359, -87.74606693954983)","60639","17","031","190900","1","170311909001","+41.9279225","-087.7441048","BELMONT CRAGIN"
"Satellite Senior Center","Auburn Gresham","Mon - Fri 8:30 a.m. to 4:30 p.m. ","1040 W. 79th Street","Chicago","IL",60620,"312-745-4798","1040 W 79th Street
Chicago, IL 60620
(41.750577216156685, -87.65029061794029)","60620","17","031","710800","5","170317108005","+41.7505237","-087.6519193","AUBURN GRESHAM"
"Satellite Senior Center","Norwood Park","Mon - Fri 8:30 a.m. to 4:30 p.m. ","5801 N. Natoma Avenue","Chicago","IL",60631,"312-744-4016","5801 N Natoma Avenue
Chicago, IL 60631
(41.98653177632919, -87.79412346217883)","60631","17","031","100300","1","170311003001","+41.9849275","-087.7967281","NORWOOD PARK"
"Satellite Senior Center","Garfield Ridge","Mon - Fri 8:30 a.m. to 4:30 p.m. ","5674-B S. Archer Avenue","Chicago","IL",60638,"312-745-4250","5674-B S Archer Avenue
Chicago, IL 60638
(41.797226434618594, -87.75315471018392)","60638","17","031","560700","2","170315607002","+41.7977864","-087.7576908","GARFIELD RIDGE"
"Satellite Senior Center","Chatham","Mon - Fri 8:30 a.m. to 4:30 p.m. ","8300 S. Cottage Grove Avenue","Chicago","IL",60619,"312-745-0385","8300 S Cottage Grove Avenue
Chicago, IL 60619
(41.743344084765305, -87.60553887925143)","60619","17","031","440202","2","170314402022","+41.7400561","-087.6075925","CHATHAM"
"Satellite Senior Center","Austin","Mon - Fri 8:30 a.m. to 4:30 p.m. ","5071 W. Congress Parkway","Chicago","IL",60644,"312-743-1538","5071 W Congress Parkway
Chicago, IL 60644
(41.87393384627249, -87.75205184121931)","60644","17","031","252201","3","170312522013","+41.8748385","-087.7520367","AUSTIN"
"Satellite Senior Center","North Center","Mon - Fri 8:30 a.m. to 4:30 p.m. ","4040 N. Oakley Avenue","Chicago","IL",60618,"312-745-4029","4040 N Oakley Avenue
Chicago, IL 60618
(41.954849869961514, -87.68608804614789)","60618","17","031","050200","3","170310502003","+41.9561907","-087.6856973","NORTH CENTER"
"Satellite Senior Center","Portage Park","Mon - Fri 8:30 a.m. to 4:30 p.m. ","4100 N. Long Avenue","Chicago","IL",60641,"312-744-9022","4100 N Long Avenue
Chicago, IL 60641
(41.95497573162156, -87.76210231986396)","60641","17","031","150300","5","170311503005","+41.9564076","-087.7646440","PORTAGE PARK"
"Satellite Senior Center","Pilsen","Mon - Fri 8:30 a.m. to 4:30 p.m. ","2021 S. Morgan Street","Chicago","IL",60608,"312-743-0493","2021 S Morgan Street
Chicago, IL 60608
(41.855146, -87.651544)","60608","17","031","310300","1","170313103001","+41.8561439","-087.6489782","LOWER WEST SIDE"
"Satellite Senior Center","South Chicago","Mon - Fri 8:30 a.m. to 4:30 p.m.","9233 S. Burley","Chicago","IL",60617,"312-745-1282","9233 S Burley Ave
Chicago, IL 60617
(41.72769331491184, -87.54550604728695)","60617","17","031","461000","1","170314610001","+41.7273925","-087.5465424","SOUTH CHICAGO"
"Satellite Senior Center","Roseland","Mon - Fri 8:30 a.m. to 4:30 p.m.","10426 S. Michigan Ave.","Chicago","IL",60628,"312-745-1500","10426 S Michigan Ave
Chicago, IL 60628
(41.7043968, -87.6211866)","60628","17","031","490902","2","170314909022","+41.7036828","-087.6200879","ROSELAND"
