"mergeid","cftype","gniscode","cfname","cfsubtype","comment","source","jurisdicti","community","address","POINT_X","POINT_Y"
"10255","School",420612,"Washington Elementary School","Public School",,"ACGL","SCHOOL DIST #147","Harvey","15227 Winchester Ave",-87.663823494,41.612628361
"10259","School",408699,"Franklin Elementary School","Public School",,"ACGL","SCHOOL DIST #148","Dolton","14701 Chicago Rd",-87.6067970155,41.6277284515
"10265","School",410978,"Harriet Tubman School","Public School",,"ACGL","SCHOOL DIST #148","Dolton","343 E 142nd St",-87.613111936,41.6357123678
"10268","School",426923,"Roosevelt Junior High School","Public School",,"ACG","SCHOOL DIST #148","Dolton","111 W 146th St",-87.6254946845,41.6280629706
"10269","School",426923,"Roosevelt Elementary School","Public School",,"ACG","SCHOOL DIST #148","Dolton","111 W 146th St",-87.6254946845,41.6280629706
"10278","School",0,"Trinity International University","Non Public School","Feature name was found on google streetview","G","CHURCH OF GOD","Dolton","14256 Dante Ave",-87.5826609826,41.6360856614
"10284","School",417734,"Saint Paul's Lutheran School","Non Public School",,"ABCGIL","ST PAUL LUTH CHURCH","Chicago Heights","330 W Highland Dr",-87.656708604,41.5137564404
"10302","School",410240,"Highland School","Public School",,"ACGIL","SCHOOL DIST #170","Chicago Heights","840 Birch Ln",-87.649794232,41.515921153
"10303","School",407244,"Division Street Junior High School","Public School",,"CG","SCHOOL DIST #170","Chicago Heights","1013 Division St",-87.6634634287,41.5118448521
"10304","School",0,"Speed Independence Elementary School","Public School",,"AIG","SCHOOL DIST #170","Chicago Heights","1013 Division St",-87.6634634287,41.5118448521
"10305","School",0,"Speed Independence High School","Public School",,"AIG","SCHOOL DIST #170","Chicago Heights","1013 Division St",-87.6634634287,41.5118448521
"10306","School",426800,"Kennedy Elementary School","Public School",,"ACGIL","SCHOOL DIST #170","Chicago Heights","1013 Division St",-87.6634634287,41.5118448521
"10332","School",426801,"Winston Churchill School","Public School",,"ACGI","SCHOOL DIST #153","Homewood","1300 W 190th St",-87.646805376,41.5451756854
"10344","School",1737300,"Woodgate Elementary School","Public School",,"ACGIL","SCHOOL DIST #159","Matteson","101 Central Ave",-87.7494902505,41.5245493685
"10355","School",1737302,"Marya Yates Elementary School","Public School",,"ACGIL","SCHOOL DIST #159","Matteson","6131 Allemong Dr",-87.7651860022,41.5217405802
"10361","School",1737276,"School District 159 Administration Building","Public School",,"ACGL","SCHOOL DIST #159","Matteson","6202 Vollmer Rd",-87.7665231341,41.5286739534
"10366","School",0,"Colin Powell Middle School","Public School",,"AIL",,"Matteson","20600 Matteson Ave",-87.7398017091,41.5145730502
"10414","School",422301,"Saukview Elementary School","Public School",,"ACGL","SCHOOL DIST #194","South Chicago Heights","3341 Miller Ave",-87.6394060602,41.4780523915
"10420","School",409305,"Grant Elementary School","Public School",,"C",,"South Chicago Heights","101 Interocean Ave",-87.6406404046,41.4911338987
"10451","School",0,"South Suburban SDA Christian School","Non Public School",,"ABG","LAKE REG CONF 7TH DAY","Park Forest","115 Chestnut St",-87.6709316465,41.478404481
"10459","School",426802,"Meadowview Elementary","Public School",,"ACGIL","SCHOOL DIST 160","Country Club Hills","4701 W 179th St",-87.731603561,41.564962181
"10461","School",426750,"Nob Hill Elementary School","Public School",,"ACGL","SCHOOL DIST #144","Country Club Hills","3701 W 168th St",-87.7071033685,41.5837128731
"10474","School",417416,"Saint John's Lutheran School","Non Public School",,"ACGIL","ST JOHNS EV LUTH CH","Country Club Hills","4231 W 183rd St",-87.7206816992,41.5556500841
"10479","School",409972,"Highlands Elementary School","Public School",,"ACGI","SCHOOL DIST #144","Hazel Crest","3420 Laurel Ln",-87.7014598408,41.5800034652
"10491","School",0,"Junior Achievers Christian Academy","Non Public School",,"AG","FULL GOSPEL CHRTN ASMM","Hazel Crest","3451 W 175th St",-87.7013438443,41.5707673825
"10494","School",426741,"Chateaux Elementary School","Public School","Chateaux Park is part of the school","ACGI","SCHOOL DIST #144","Hazel Crest","3600 Chambord Ln",-87.7028503818,41.5635026256
"10586","School",0,"Millennium School","Public School",,"AGIL","SCHOOL DIST #153","Homewood","18220 Morgan Ave",-87.6424729528,41.5587563858
"10587","School",409875,"James Hart School","Public School",,"ACGIL","SCHOOL DIST #153","Homewood","18220 Morgan Ave",-87.6424729528,41.5587563858
"10600","School",0,"Hello Montessori Preschool & Kindergarten","Non Public School",,"AGI","ST ANDREWS UN METH CH","Homewood","18850 Riegel Rd",-87.6518982938,41.5470224713
"10606","School",423735,"Wolcott School","Public School",,"ACGL","SCHOOL DIST #154","Thornton","200 N Wolcott St",-87.6151853435,41.5702346188
"10641","School",426650,"Rich Central High School","Public School",,"ACGIL","TR OF SCH DIST #227","Olympia Fields","3600 W 203rd St",-87.7059555372,41.523027589
"10649","School",403590,"Arcadia Elementary School","Public School",,"ACGIL","SCHOOL DIST #162","Olympia Fields","20519 Arcadian Dr",-87.7012712751,41.5152263738
"10658","School",419761,"Tolentine College","Non Public School",,"C","PROVINCE MOTHER GOOD","Olympia Fields","20300 Governors Hwy",-87.7065013619,41.5193610266
"10662","School",0,"Homewood Community Academy","Non Public School",,"AB","TEMPLE ANSHE SHOLOM","Olympia Fields","20820 Western Ave",-87.6758846952,41.5109734991
"10665","School",1719175,"Forest Trail Middle School","Public School",,"ACGL","SCHOOL DIST #163","Park Forest","215 Wilson St",-87.6954799227,41.4858298106
"10670","School",417321,"Saint Irenaeus School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Park Forest","78 Cherry St",-87.6808568018,41.4797444882
"10674","School",418031,"Sauk Trail School","Public School",,"ACG","SCHOOL DIST #163","Park Forest","242 S Orchard Dr",-87.6826801318,41.4777675157
"10676","School",413705,"Mohawk Elementary School","Public School",,"CG","SCHOOL DIST #163","Park Forest","301 Mohawk St",-87.6967338909,41.4782770326
"10677","School",0,"Mohawk Intermediate School","Public School",,"AGL","SCHOOL DIST #163","Park Forest","301 Mohawk St",-87.6967338909,41.4782770326
"10684","School",0,"Childs World Montessori Center","Non Public School",,"BG","GRACE UNITED PROT CH","Park Forest","266 Somonauk St",-87.6982771064,41.4717745
"10691","School",410885,"Indiana Elementary School","Public School",,"ACGL","SCHOOL DIST #162","Park Forest","165 Indiana St",-87.6922681072,41.5013326889
"10695","School",404521,"Blackhawk Elementary School","Public School",,"CG","SCHOOL DIST #163","Park Forest","130 Blackhawk Dr",-87.6860709386,41.4715296835
"10696","School",0,"Blackhawk Intermediate Center","Public School",,"AGL","SCHOOL DIST #163","Park Forest","130 Blackhawk Dr",-87.6860709386,41.4715296835
"10697","School",0,"Park Forest Academy","Non Public School",,"GL","O L L EDUCATION SV","Park Forest","375 Oswego St",-87.6861958951,41.4722882814
"10716","School",422306,"Neil Armstrong Elementary School","Public School",,"ACGL","SCHOOL DIST #161","Richton Park","5030 Imperial Dr",-87.737435911,41.4784214123
"10718","School",0,"Richton Square Elementary School","Public School",,"AGL","ILL ASSN 7TH DAY ADVNT","Richton Park","22700 Richton Square Rd",-87.7090765284,41.4764648733
"10721","School",1719167,"Immanuel Lutheran Crossroads School","Non Public School",,"AC","IMMANUEL EV LUTH CH","Richton Park","22250 Cicero Ave",-87.7338504967,41.4854859007
"10722","School",0,"Southland College Preparatory Charter School Incorporated","Non Public School",,"AB",,"Richton Park","4601 Sauk Trl",-87.7280046304,41.4834886068
"10732","School",0,"Marion H Blakely Christian Academy","Non Public School","Multiple addresses exist for this parcel.","A",,"Richton Park","4143 Sauk Trl",-87.7173322071,41.4837914141
"10762","School",1825934,"Burnham Elementary School","Public School",,"ACG","SCHOOL DIST #154 1/2","Burnham","13945 Greenbay Ave",-87.5411059595,41.6416646566
"10780","School",426784,"Taft School","Public School",,"ACGIL","SCHOOL DIST #151","Harvey","16225 Union Ave",-87.6327747657,41.5945853067
"10812","School",0,"Chicago Metropolitan Educational Center For Community Advancement","Non Public School",,"AB",,"South Holland","15455 South Park Ave",-87.6069190992,41.6140046528
"10821","School",423734,"Sandridge School","Public School",,"C",,"South Holland","15215 Wabash Ave",-87.6151520505,41.6183993418
"10839","School",0,"Youthwatch Ed Services","Non Public School",,"A",,"Harvey","15416 Lincoln Ave",-87.6635577029,41.6092075231
"10876","School",0,"Nurturing Development & Learning Center","Non Public School",,"A",,"South Holland","835 E Sibley Blvd",-87.5961530247,41.6221477366
"10877","School",0,"Nurturing Development & Learning Academy 2","Non Public School",,"D",,"South Holland","835 E Sibley Blvd",-87.5961530247,41.6221477366
"11001","School",0,"Paragon Monument One Private Christian School","Non Public School",,"AB",,"South Holland","15525 South Park Ave",-87.6069189982,41.6128997136
"11002","School",0,"Mary-Grace Educational Center","Non Public School",,"A",,"Dolton","14446 University Ave",-87.5897118918,41.6318220045
"11003","School",426729,"Flossmoor Hills Elementary School","Public School",,"ACGIL","SCHOOL DIST #161","Flossmoor","3721 Beech St",-87.7072405922,41.5487312409
"11014","School",0,"Martsci Montessori School","Non Public School",,"AGI","MARTSCI SCHOOL","Flossmoor","1038 Leavitt Ave",-87.6824615736,41.5431481485
"11034","School",426763,"Normandy Villa School","Public School",,"C",,"Chicago Heights","99 Mildred Ln",-87.6445901334,41.5311949793
"11066","School",1837287,"Worth Junior High School","Public School",,"ACG","SCHOOL DISTRICT #127","Worth","11151 New England Ave",-87.7908276611,41.6887469048
"11074","School",408783,"Harry E Fry Elementary School","Public School",,"ACGI","BD OF ED DIST #111","Burbank","7805 S Mobile Ave",-87.7772256175,41.7494446629
"11077","School",1830830,"Jacqueline B Kennedy Elementary School","Public School",,"ACGI","BD OF ED DIST #111","Burbank","7650 S Central Ave",-87.7627999039,41.75408563
"11078","School",417501,"Saint Lawrence High School","Non Public School",,"ACGI","ST LAURENCE H S","Burbank","5500 W 77th St",-87.7590682249,41.7547629743
"11079","School",416306,"Queen of Peace High School","Non Public School",,"ABCGI","QUEEN OF PEACE HS CORP","Burbank","7659 S Linder Ave",-87.7574548793,41.7538125821
"11081","School",415276,"Owen Elementary Scholastic Academy","Public School",,"CG","BURBANK CITY OF","Burbank","7745 S Leamington Ave",-87.7493305406,41.7515558551
"11084","School",405317,"Richard E Byrd Elementary School","Public School",,"ACGI","BD OF ED DIST #111","Burbank","8259 S Lavergne Ave",-87.7447847811,41.7424199464
"11085","School",405207,"Luther Burbank Elementary School","Public School",,"CGI","BD OF ED DIST #111","Burbank","8300 S Linder Ave",-87.7571809036,41.742810188
"11092","School",412822,"Rosa G. Maddock Elementary School","Public School",,"ACGI","BD OF ED DIST #111","Burbank","8258 S Sayre Ave",-87.7958038049,41.7417760618
"11094","School",2037530,"Frances B McCord Elementary School","Public School",,"ACGI","BD OF ED DIST #111","Burbank","8450 S Nashville Ave",-87.7857072568,41.738919689
"11096","School",419752,"Edward J Tobin Elementary School","Public School",,"ACG","BOARD OF ED DST #111","Burbank","8501 S Narragansett Ave",-87.7789702554,41.7365553952
"11106","School",1825668,"A E R O Educational Center","Non Public School",,"ACG","TRST SCH 38N R13 AERO","Burbank","7600 S Mason Ave",-87.7701054559,41.7538567462
"11108","School",426924,"Martin Luther King Elementary School","Public School",,"BCGIL","SCHOOL DIST #147","Dixmoor","14545 Seeley Ave",-87.666362804,41.6251398174
"11119","School",421618,"Ziebell Elementary School","Public School",,"CG","SCHOOL DIST #143 1/2","Posen","14825 Rockwell Ave",-87.6824883144,41.619582093
"11120","School",413927,"Mount Assisi Academy","Non Public School","High School","ABCGI","SISTERS OF ST FRANCIS","Lemont Twp","13900 Main St",-87.9593453299,41.682889855
"11121","School",417625,"Saint Marys Seminary","Non Public School",,"CG","COMMISSARY HOLY CROSS","Lemont Twp","14246 Main St",-87.9644557598,41.6806114775
"11130","School",0,"Old Quarry Middle School","Public School",,"AGI","SCHOOL DIST #113","Lemont","16190 127th St",-88.0132076386,41.6537706332
"11155","School",0,"Lemont High School Sports Complex","Public School",,"G","SCHOOL DIST #210","Lemont Twp","12900 131st St",-87.9332464718,41.6489190095
"11164","School",0,"Everest Academy of Lemont","Non Public School",,"A",,"Lemont Twp","11550 Bell Rd",-87.9345233786,41.6780684841
"11165","School",0,"Lithuanian Maironis Community School Of Lemont","Non Public School",,"B",,"Lemont","14911 127th St",-87.9836437484,41.6599856418
"11167","School",0,"Reformation Christian School","Non Public School",,"B",,"Lemont","14911 127th St",-87.9836437484,41.6599856418
"11171","School",426622,"Saint Vincent Depaul High School Seminary","Non Public School",,"C",,"Lemont","1236 Notre Dame Dr",-87.9758593183,41.6575155833
"11177","School",2026609,"Millennium Elementary School","Public School",,"CGILM","SCHOOL DIST #140","Tinley Park","17700 84th Ave",-87.8237752784,41.5664911669
"11192","School",1737213,"Christa McAuliffe Elementary School","Public School",,"ACGIL","SCHOOL DIST #140","Tinley Park","8944 174th St",-87.8358782829,41.5754608823
"11212","School",417305,"Saint Gerald School","Non Public School",,"CGI","CATHOLIC BISHOP CHGO","Oak Lawn","9320 S 55th Ct",-87.7597929739,41.7224767308
"11217","School",1826316,"Evangelical School of Nursing","Non Public School",,"CG","EVANGELICAL HOSP CORP","Oak Lawn","9340 S Kostner Ave",-87.7324381077,41.7222018709
"11221","School",406677,"Covington School","Public School",,"ACG","SCHOOL DIST #123","Oak Lawn","9130 S 52nd Ave",-87.7513693156,41.7260816463
"11228","School",406493,"Cook Avenue School","Non Public School",,"C",,"Oak Lawn","9530 S Cook Ave",-87.7521495165,41.7188209977
"11230","School",406417,"Columbus Manor School","Public School",,"ACGI","SCHOOL DIST 122","Oak Lawn","9700 S Mayfield Ave",-87.768124385,41.7151408324
"11236","School",419469,"Sward Elementary School","Public School",,"ACGI","SCHOOL DIST #123","Oak Lawn","9830 S Brandt Ave",-87.7455451756,41.7135699474
"11240","School",417512,"Saint Linus School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Oak Lawn","10426 S Lawler Ave",-87.7469086964,41.7035984251
"11241","School",0,"Park Lawn Vocational Services","Non Public School","Feature name was found on google streetview","GN","PARK LAWN ASSOC","Oak Lawn","5040 W 111th St",-87.746957992,41.6912450524
"11243","School",0,"Kolmar Avenue Elementary School","Public School",,"AGI","SCHOOL DIST #123","Oak Lawn","10427 S Kolmar Ave",-87.7335101119,41.7029737321
"11246","School",426656,"Saint Catherine of Alexandria School","Non Public School",,"CGI","CATHOLIC BISHOP CHGO","Oak Lawn","4100 W 107th St",-87.723650292,41.699454155
"11248","School",0,"Pride School","Public School",,"A","OAK LAWN SD 123","Oak Lawn","4201 W 93rd Pl",-87.7273793279,41.7230300254
"11251","School",410464,"Hometown Elementary School","Public School",,"ACG","SCHOOL DIST #123","Hometown","8870 S Duffy Ave",-87.7319556765,41.7307494488
"11265","School",0,"Zion Lutheran Early Childhood Center School","Non Public School",,"AG","ZION LUTH CH","Tinley Park","17100 69th Ave",-87.7885313065,41.5798091671
"11270","School",0,"Landmark Christian Academy","Non Public School",,"AG","TINLEY PK CHRISTIAN CH","Tinley Park","16250 84th Ave",-87.8239621669,41.5945533405
"11275","School",1737290,"Tinley Park High School","Public School",,"ACGIL","SCHOOL DIST #228","Tinley Park","6111 175th St",-87.7671786536,41.5716640705
"11306","School",1737253,"Prairie Elementary School","Public School",,"ACGL","SCHOOL DIST #135","Orland Park","14110 82nd Ave",-87.8215814371,41.6334985682
"11315","School",1737195,"Jerling Junior High School","Public School",,"ACGIL","SCHOOL DIST #135","Orland Park","8850 151st St",-87.8348786296,41.6143770759
"11316","School",1737206,"Liberty Elementary School","Public School",,"ACGIL","SCHOOL DIST #135","Orland Park","8850 151st St",-87.8348786296,41.6143770759
"11340","School",1737202,"Arnold W Kruse Education Center","Public School",,"ACG","SCHOOL DIST #146","Orland Park","7617 Hemlock Dr",-87.8057449326,41.6106586168
"11362","School",1737159,"Walter F Fierke Education Center","Public School",,"ACGL","SCHOOL DIST #146","Oak Forest","6535 Victoria Dr",-87.7785632288,41.6090294639
"11381","School",0,"South Suburban Academy of Early Learning","Non Public School",,"A",,"Orland Park","14311 82nd Ave",-87.81898487,41.6304072743
"11393","School",0,"Southwest Cook County Cooperative Transition Program","Non Public School","Special Education","A",,"Orland Park","14535 John Humphrey Dr",-87.8504393162,41.6255806793
"11403","School",1737261,"Ridge Lawn Elementary School","Public School",,"ACG","SCHOOL DIST #127 1/2","Chicago Ridge","10501 S Menard Ave",-87.7635873249,41.7007819475
"11407","School",410074,"Henry Ford II School","Public School",,"CG","SCHOOL DIST #127 1/2","Chicago Ridge","10835 S Lombard Ave",-87.7728829623,41.6952769095
"11408","School",1737260,"Ridge Central Elementary School","Public School",,"CG","SCHOOL DIST #127 1/2","Chicago Ridge","10835 S Lombard Ave",-87.7728829623,41.6952769095
"11409","School",0,"Elden D Finley Junior High School","Public School",,"AG","SCHOOL DIST #127 1/2","Chicago Ridge","10835 S Lombard Ave",-87.7728829623,41.6952769095
"11424","School",419024,"Amos Alonzo Stagg High School","Public School",,"ACG","SCHOOL DIST #230","Palos Hills","8001 W 111th St",-87.8185392119,41.6869925254
"11453","School",410865,"Indian Hills School","Public School",,"ACGN","SCHOOL DIST 128","Worth Twp","12800 Austin Ave",-87.7684529668,41.6578157784
"11454","School",1737244,"Palos South Middle School","Public School",,"ACGL","SCHOOL DISTRICT 118","Palos Twp","13100 131st St",-87.8208703708,41.6511716477
"11458","School",1737193,"Jack Hille Middle School","Public School",,"ACGL","SCHOOL DIST #142","Oak Forest","5800 151st St",-87.7621742506,41.6190642021
"11463","School",413195,"Link And Option Center Incorporated","Public School",,"BCGL","CITY OF MARKHAM","Markham","15600 Homan Ave",-87.7001168328,41.6053438084
"11467","School",0,"Braun Educational Center","Public School",,"AGL","SCHOOL DIST #142","Oak Forest","6020 151st St",-87.7675882546,41.6187056182
"11472","School",404812,"Bremen High School","Public School",,"ACGL","SCHOOL DIST #228","Midlothian","15233 S Pulaski Rd",-87.7147615118,41.6145920339
"11474","School",405557,"Prairie Hills School","Public School",,"ACGL","SCHOOL DIST #144","Markham","3015 W 163rd St",-87.6898797916,41.5919555653
"11478","School",413016,"Markham Park Elementary School","Public School",,"ACGL","SCHOOL DIST #144","Markham","16239 S Lawndale Ave",-87.7058770979,41.5943917025
"11484","School",417237,"Saint Christopher School","Non Public School",,"ACGL","CATHOLIC BISHOP CHGO","Midlothian","14611 Keeler Ave",-87.7214303525,41.626408072
"11487","School",0,"Midlothian School District 143 Office","Public School",,"AG","SCHOOL DIST #143","Midlothian","14959 S Pulaski Rd",-87.7170316165,41.6203545696
"11491","School",1737236,"Oak Forest High School","Public School",,"ACGL","SCHOOL DIST #228","Oak Forest","15201 Central Ave",-87.7539493659,41.6157917192
"11493","School",411830,"Kerkstra Elementary School","Public School",,"ACGL","SCHOOL DIST #142","Oak Forest","14950 Laramie Ave",-87.7475504125,41.6204169076
"11494","School",0,"Forest Ridge School District 142 Main Office","Public School",,"AGL","SCHOOL DIST #142","Oak Forest","15000 Laramie Ave",-87.7475182617,41.6194029194
"11500","School",426790,"Morton-Gingerwood Elementary School","Public School",,"ACG","SCHOOL DIST #145","Oak Forest","16866 Forest Ave",-87.7395313697,41.5839133355
"11507","School",426657,"Saint Damian Elementary School","Non Public School",,"ACGL","CATHOLIC BISHOP CHGO","Oak Forest","5220 155th St",-87.7495195906,41.6109946328
"11554","School",0,"Triple R Child Care Incorporated","Non Public School",,"A",,"Oak Forest","5500 147th St",-87.7541503105,41.6251712549
"11557","School",426826,"Northwest School","Public School",,"ACG","TRST OF SCHL DIST #124","Evergreen Park","3630 W 92nd St",-87.7126956102,41.7270068137
"11559","School",417198,"Saint Bernadette School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Evergreen Park","9311 S Francisco Ave",-87.6938203926,41.7235145725
"11572","School",418861,"Southwest Elementary School","Public School",,"ACG","TRST OF SCHL DIST #124","Evergreen Park","9900 S Central Park Ave",-87.7120153753,41.7123375581
"11573","School",0,"Evergreen Park High School","Public School",,"AGI","TRSTS OF SCHL DIST 231","Evergreen Park","9901 S Kedzie Ave",-87.699122598,41.7124691785
"11588","School",1829671,"Hazel Green Elementary School","Public School",,"ACG","SCHOOL DIST #126","Alsip","11751 Lawler Ave",-87.7447779766,41.6789770008
"11603","School",0,"George Washington Elementary School","Public School",,"BGI","SCHOOL DIST #130","Alsip","12545 Homan Ave",-87.7030154405,41.6638979658
"11611","School",419955,"Delia M Turner Elementary School","Public School",,"ACG","SCHOOL DIST #143 1/2","Crestwood","3847 135th St",-87.7154743534,41.6466355721
"11612","School",0,"Bernice Childs Elementary School","Public School",,"BGL","SCHOOL DIST #143 1/2","Robbins","14123 Lydia Ave",-87.7034906906,41.6359430988
"11613","School",411356,"Thomas Kellar Middle School","Public School",,"BCGL","SCHOOL DIST #143 1/2","Robbins","14123 Lydia Ave",-87.7034906906,41.6359430988
"11614","School",0,"Delta Learning Center","Public School",,"AGL","SCHOOL DIST #218","Crestwood","3940 Midlothian Tpke",-87.7171595509,41.6429473371
"11618","School",426884,"Meadow Lane School","Public School",,"ACGI","SCHOOL DIST #125","Merrionette Park","11800 Meadow Lane Dr",-87.6966812653,41.6783402732
"11631","School",412896,"Horace Mann School","Public School",,"CGL","SCHOOL DIST #130","Robbins","2975 Claire Blvd",-87.6955951516,41.6497932474
"11632","School",1737144,"Chippewa Elementary School","Public School",,"ACG","SCHOOL DIST 128","Worth Twp","12425 Austin Ave",-87.7670883459,41.6653831472
"11653","School",0,"Posen Robbins School District 143 1/2","Public School",,"AG","SCHOOL DIST #143 1/2","Posen","14025 Harrison Ave",-87.6874925179,41.6379878834
"11671","School",0,"School District 133 Annex","Public School",,"AGL","SCHOOL DIST #133","Riverdale","150 W 137th St",-87.6258279282,41.647287702
"11683","School",420613,"Washington Elementary School","Public School",,"ACG","SCHOOL DIST #148","Riverdale","13900 School St",-87.6299550137,41.6418100291
"11684","School",0,"Washington Junior High","Public School",,"AGL","SCHOOL DIST #148","Riverdale","13900 School St",-87.6299550137,41.6418100291
"11694","School",416303,"Queen of Apostles School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Riverdale","14424 Wentworth Ave",-87.6275128538,41.6321820781
"11697","School",2026650,"Administrative Services School District 148","Public School",,"ACG","SCHOOL DIST #148","Riverdale","114 W 144th St",-87.6253335795,41.6331934954
"11733","School",426881,"Greenwood School","Public School",,"ACG","SCHOOL DIST #130","Blue Island","12418 Highland Ave",-87.6882704423,41.6674199088
"11741","School",0,"Alternative Academic Achievement Academy","Non Public School",,"ABG","PUERTO RICAN CULT CTR","Blue Island","13801 Chatham St",-87.6745481225,41.6417541672
"11745","School",416562,"Paul Revere Primary School","Public School",,"ACG","SCHOOL DIST #130","Blue Island","12331 Gregory St",-87.6775769419,41.6691107923
"11746","School",0,"Paul Revere Intermediate School","Public School",,"AGL","SCHOOL DIST #130","Blue Island","12331 Gregory St",-87.6775769419,41.6691107923
"11755","School",1737198,"Everett F Kerr Middle School","Public School",,"ACGL","SCHOOL DIST #130","Blue Island","12905 Maple Ave",-87.6843757533,41.6584383003
"11758","School",0,"Forum High School","Non Public School",,"ABG","FORUM HIGH SCHOOL","Blue Island","2755 York St",-87.6892964604,41.6567833198
"11759","School",421119,"Whittier School","Public School",,"ACGL","SCHOOL DIST #130","Blue Island","13045 Maple Ave",-87.6842785391,41.6558204781
"11790","School",415334,"Southwest Suburban Montessori School","Public School",,"ABC",,"Palos Twp","8800 119th St",-87.8358276656,41.6748431355
"11791","School",0,"Bobbie Noonans School","Non Public School",,"A",,"Palos Hills","10155 S Roberts Rd",-87.8168378702,41.7059390474
"11792","School",0,"Mary Sears Childrens Academy","Non Public School",,"A",,"Lemont Twp","15533 129th St",-87.9992167664,41.6532018152
"11793","School",0,"Bobbie Noonans School","Non Public School",,"A",,"Tinley Park","17051 Grissom Dr",-87.8146026001,41.5807592903
"11794","School",0,"Safe Care Academy Incorporated School","Non Public School",,"A",,"Posen","2928 147th St",-87.6924265548,41.6263063255
"11801","School",0,"Westchester Intermediate School","Public School",,"AG","SCHOOL DIST #92 1/2","Westchester","10900 Canterbury St",-87.8936362811,41.8548055666
"11802","School",417451,"Saint Joseph High School","Non Public School",,"ABC","ST JOSEPH HIGH SCHOOL","Westchester","1840 Mayfair Ave",-87.8935092954,41.8525159432
