"date","yr","mo","day","qtr","wk","day.of.yr","day.of.wk","day.of.wk.name","eval.day","eval.wk","train","validate","test","partition"
2006-03-30,2006,3,30,1,13,89,"4","Wed",89,13,FALSE,FALSE,FALSE,"none"
2006-03-31,2006,3,31,1,13,90,"5","Thu",90,13,FALSE,FALSE,FALSE,"none"
2006-04-01,2006,4,1,2,13,91,"6","Fri",91,13,FALSE,FALSE,FALSE,"none"
2006-04-02,2006,4,2,2,14,92,"0","Sat",92,14,FALSE,FALSE,FALSE,"none"
2006-04-03,2006,4,3,2,14,93,"1","Sun",93,14,FALSE,FALSE,FALSE,"none"
2006-04-04,2006,4,4,2,14,94,"2","Mon",94,14,FALSE,FALSE,FALSE,"none"
2006-04-05,2006,4,5,2,14,95,"3","Tue",95,14,FALSE,FALSE,FALSE,"none"
2006-04-06,2006,4,6,2,14,96,"4","Wed",96,14,FALSE,FALSE,FALSE,"none"
2006-04-07,2006,4,7,2,14,97,"5","Thu",97,14,FALSE,FALSE,FALSE,"none"
2006-04-08,2006,4,8,2,14,98,"6","Fri",98,14,FALSE,FALSE,FALSE,"none"
2006-04-09,2006,4,9,2,15,99,"0","Sat",99,15,FALSE,FALSE,FALSE,"none"
2006-04-10,2006,4,10,2,15,100,"1","Sun",100,15,FALSE,FALSE,FALSE,"none"
2006-04-11,2006,4,11,2,15,101,"2","Mon",101,15,FALSE,FALSE,FALSE,"none"
2006-04-12,2006,4,12,2,15,102,"3","Tue",102,15,FALSE,FALSE,FALSE,"none"
2006-04-13,2006,4,13,2,15,103,"4","Wed",103,15,FALSE,FALSE,FALSE,"none"
2006-04-14,2006,4,14,2,15,104,"5","Thu",104,15,FALSE,FALSE,FALSE,"none"
2006-04-15,2006,4,15,2,15,105,"6","Fri",105,15,FALSE,FALSE,FALSE,"none"
2006-04-16,2006,4,16,2,16,106,"0","Sat",106,16,FALSE,FALSE,FALSE,"none"
2006-04-17,2006,4,17,2,16,107,"1","Sun",107,16,FALSE,FALSE,FALSE,"none"
2006-04-18,2006,4,18,2,16,108,"2","Mon",108,16,FALSE,FALSE,FALSE,"none"
2006-04-19,2006,4,19,2,16,109,"3","Tue",109,16,FALSE,FALSE,FALSE,"none"
2006-04-20,2006,4,20,2,16,110,"4","Wed",110,16,FALSE,FALSE,FALSE,"none"
2006-04-21,2006,4,21,2,16,111,"5","Thu",111,16,FALSE,FALSE,FALSE,"none"
2006-04-22,2006,4,22,2,16,112,"6","Fri",112,16,FALSE,FALSE,FALSE,"none"
2006-04-23,2006,4,23,2,17,113,"0","Sat",113,17,FALSE,FALSE,FALSE,"none"
2006-04-24,2006,4,24,2,17,114,"1","Sun",114,17,FALSE,FALSE,FALSE,"none"
2006-04-25,2006,4,25,2,17,115,"2","Mon",115,17,FALSE,FALSE,FALSE,"none"
2006-04-26,2006,4,26,2,17,116,"3","Tue",116,17,FALSE,FALSE,FALSE,"none"
2006-04-27,2006,4,27,2,17,117,"4","Wed",117,17,FALSE,FALSE,FALSE,"none"
2006-04-28,2006,4,28,2,17,118,"5","Thu",118,17,FALSE,FALSE,FALSE,"none"
2006-04-29,2006,4,29,2,17,119,"6","Fri",119,17,FALSE,FALSE,FALSE,"none"
2006-04-30,2006,4,30,2,18,120,"0","Sat",120,18,FALSE,FALSE,FALSE,"none"
2006-05-01,2006,5,1,2,18,121,"1","Sun",121,18,FALSE,FALSE,FALSE,"none"
2006-05-02,2006,5,2,2,18,122,"2","Mon",122,18,FALSE,FALSE,FALSE,"none"
2006-05-03,2006,5,3,2,18,123,"3","Tue",123,18,FALSE,FALSE,FALSE,"none"
2006-05-04,2006,5,4,2,18,124,"4","Wed",124,18,FALSE,FALSE,FALSE,"none"
2006-05-05,2006,5,5,2,18,125,"5","Thu",125,18,FALSE,FALSE,FALSE,"none"
2006-05-06,2006,5,6,2,18,126,"6","Fri",126,18,FALSE,FALSE,FALSE,"none"
2006-05-07,2006,5,7,2,19,127,"0","Sat",127,19,FALSE,FALSE,FALSE,"none"
2006-05-08,2006,5,8,2,19,128,"1","Sun",128,19,FALSE,FALSE,FALSE,"none"
2006-05-09,2006,5,9,2,19,129,"2","Mon",129,19,FALSE,FALSE,FALSE,"none"
2006-05-10,2006,5,10,2,19,130,"3","Tue",130,19,FALSE,FALSE,FALSE,"none"
2006-05-11,2006,5,11,2,19,131,"4","Wed",131,19,FALSE,FALSE,FALSE,"none"
2006-05-12,2006,5,12,2,19,132,"5","Thu",132,19,FALSE,FALSE,FALSE,"none"
2006-05-13,2006,5,13,2,19,133,"6","Fri",133,19,FALSE,FALSE,FALSE,"none"
2006-05-14,2006,5,14,2,20,134,"0","Sat",134,20,FALSE,FALSE,FALSE,"none"
2006-05-15,2006,5,15,2,20,135,"1","Sun",135,20,FALSE,FALSE,FALSE,"none"
2006-05-16,2006,5,16,2,20,136,"2","Mon",136,20,FALSE,FALSE,FALSE,"none"
2006-05-17,2006,5,17,2,20,137,"3","Tue",137,20,FALSE,FALSE,FALSE,"none"
2006-05-18,2006,5,18,2,20,138,"4","Wed",138,20,FALSE,FALSE,FALSE,"none"
2006-05-19,2006,5,19,2,20,139,"5","Thu",139,20,FALSE,FALSE,FALSE,"none"
2006-05-20,2006,5,20,2,20,140,"6","Fri",140,20,FALSE,FALSE,FALSE,"none"
2006-05-21,2006,5,21,2,21,141,"0","Sat",141,21,FALSE,FALSE,FALSE,"none"
2006-05-22,2006,5,22,2,21,142,"1","Sun",142,21,FALSE,FALSE,FALSE,"none"
2006-05-23,2006,5,23,2,21,143,"2","Mon",143,21,FALSE,FALSE,FALSE,"none"
2006-05-24,2006,5,24,2,21,144,"3","Tue",144,21,FALSE,FALSE,FALSE,"none"
2006-05-25,2006,5,25,2,21,145,"4","Wed",145,21,FALSE,FALSE,FALSE,"none"
2006-05-26,2006,5,26,2,21,146,"5","Thu",146,21,FALSE,FALSE,FALSE,"none"
2006-05-27,2006,5,27,2,21,147,"6","Fri",147,21,FALSE,FALSE,FALSE,"none"
2006-05-28,2006,5,28,2,22,148,"0","Sat",148,22,FALSE,FALSE,FALSE,"none"
2006-05-29,2006,5,29,2,22,149,"1","Sun",149,22,FALSE,FALSE,FALSE,"none"
2006-05-30,2006,5,30,2,22,150,"2","Mon",150,22,FALSE,FALSE,FALSE,"none"
2006-05-31,2006,5,31,2,22,151,"3","Tue",151,22,FALSE,FALSE,FALSE,"none"
2006-06-01,2006,6,1,2,22,152,"4","Wed",152,22,FALSE,FALSE,FALSE,"none"
2006-06-02,2006,6,2,2,22,153,"5","Thu",153,22,FALSE,FALSE,FALSE,"none"
2006-06-03,2006,6,3,2,22,154,"6","Fri",154,22,FALSE,FALSE,FALSE,"none"
2006-06-04,2006,6,4,2,23,155,"0","Sat",155,23,FALSE,FALSE,FALSE,"none"
2006-06-05,2006,6,5,2,23,156,"1","Sun",156,23,FALSE,FALSE,FALSE,"none"
2006-06-06,2006,6,6,2,23,157,"2","Mon",157,23,FALSE,FALSE,FALSE,"none"
2006-06-07,2006,6,7,2,23,158,"3","Tue",158,23,FALSE,FALSE,FALSE,"none"
2006-06-08,2006,6,8,2,23,159,"4","Wed",159,23,FALSE,FALSE,FALSE,"none"
2006-06-09,2006,6,9,2,23,160,"5","Thu",160,23,FALSE,FALSE,FALSE,"none"
2006-06-10,2006,6,10,2,23,161,"6","Fri",161,23,FALSE,FALSE,FALSE,"none"
2006-06-11,2006,6,11,2,24,162,"0","Sat",162,24,FALSE,FALSE,FALSE,"none"
2006-06-12,2006,6,12,2,24,163,"1","Sun",163,24,FALSE,FALSE,FALSE,"none"
2006-06-13,2006,6,13,2,24,164,"2","Mon",164,24,FALSE,FALSE,FALSE,"none"
2006-06-14,2006,6,14,2,24,165,"3","Tue",165,24,FALSE,FALSE,FALSE,"none"
2006-06-15,2006,6,15,2,24,166,"4","Wed",166,24,FALSE,FALSE,FALSE,"none"
2006-06-16,2006,6,16,2,24,167,"5","Thu",167,24,FALSE,FALSE,FALSE,"none"
2006-06-17,2006,6,17,2,24,168,"6","Fri",168,24,FALSE,FALSE,FALSE,"none"
2006-06-18,2006,6,18,2,25,169,"0","Sat",169,25,FALSE,FALSE,FALSE,"none"
2006-06-19,2006,6,19,2,25,170,"1","Sun",170,25,FALSE,FALSE,FALSE,"none"
2006-06-20,2006,6,20,2,25,171,"2","Mon",171,25,FALSE,FALSE,FALSE,"none"
2006-06-21,2006,6,21,2,25,172,"3","Tue",172,25,FALSE,FALSE,FALSE,"none"
2006-06-22,2006,6,22,2,25,173,"4","Wed",173,25,FALSE,FALSE,FALSE,"none"
2006-06-23,2006,6,23,2,25,174,"5","Thu",174,25,FALSE,FALSE,FALSE,"none"
2006-06-24,2006,6,24,2,25,175,"6","Fri",175,25,FALSE,FALSE,FALSE,"none"
2006-06-25,2006,6,25,2,26,176,"0","Sat",176,26,FALSE,FALSE,FALSE,"none"
2006-06-26,2006,6,26,2,26,177,"1","Sun",177,26,FALSE,FALSE,FALSE,"none"
2006-06-27,2006,6,27,2,26,178,"2","Mon",178,26,FALSE,FALSE,FALSE,"none"
2006-06-28,2006,6,28,2,26,179,"3","Tue",179,26,FALSE,FALSE,FALSE,"none"
2006-06-29,2006,6,29,2,26,180,"4","Wed",180,26,FALSE,FALSE,FALSE,"none"
2006-06-30,2006,6,30,2,26,181,"5","Thu",181,26,FALSE,FALSE,FALSE,"none"
2006-07-01,2006,7,1,3,26,182,"6","Fri",182,26,FALSE,FALSE,FALSE,"none"
2006-07-02,2006,7,2,3,27,183,"0","Sat",183,27,FALSE,FALSE,FALSE,"none"
2006-07-03,2006,7,3,3,27,184,"1","Sun",184,27,FALSE,FALSE,FALSE,"none"
2006-07-04,2006,7,4,3,27,185,"2","Mon",185,27,FALSE,FALSE,FALSE,"none"
2006-07-05,2006,7,5,3,27,186,"3","Tue",186,27,FALSE,FALSE,FALSE,"none"
2006-07-06,2006,7,6,3,27,187,"4","Wed",187,27,FALSE,FALSE,FALSE,"none"
2006-07-07,2006,7,7,3,27,188,"5","Thu",188,27,FALSE,FALSE,FALSE,"none"
2006-07-08,2006,7,8,3,27,189,"6","Fri",189,27,FALSE,FALSE,FALSE,"none"
2006-07-09,2006,7,9,3,28,190,"0","Sat",190,28,FALSE,FALSE,FALSE,"none"
2006-07-10,2006,7,10,3,28,191,"1","Sun",191,28,FALSE,FALSE,FALSE,"none"
2006-07-11,2006,7,11,3,28,192,"2","Mon",192,28,FALSE,FALSE,FALSE,"none"
2006-07-12,2006,7,12,3,28,193,"3","Tue",193,28,FALSE,FALSE,FALSE,"none"
2006-07-13,2006,7,13,3,28,194,"4","Wed",194,28,FALSE,FALSE,FALSE,"none"
2006-07-14,2006,7,14,3,28,195,"5","Thu",195,28,FALSE,FALSE,FALSE,"none"
2006-07-15,2006,7,15,3,28,196,"6","Fri",196,28,FALSE,FALSE,FALSE,"none"
2006-07-16,2006,7,16,3,29,197,"0","Sat",197,29,FALSE,FALSE,FALSE,"none"
2006-07-17,2006,7,17,3,29,198,"1","Sun",198,29,FALSE,FALSE,FALSE,"none"
2006-07-18,2006,7,18,3,29,199,"2","Mon",199,29,FALSE,FALSE,FALSE,"none"
2006-07-19,2006,7,19,3,29,200,"3","Tue",200,29,FALSE,FALSE,FALSE,"none"
2006-07-20,2006,7,20,3,29,201,"4","Wed",201,29,FALSE,FALSE,FALSE,"none"
2006-07-21,2006,7,21,3,29,202,"5","Thu",202,29,FALSE,FALSE,FALSE,"none"
2006-07-22,2006,7,22,3,29,203,"6","Fri",203,29,FALSE,FALSE,FALSE,"none"
2006-07-23,2006,7,23,3,30,204,"0","Sat",204,30,FALSE,FALSE,FALSE,"none"
2006-07-24,2006,7,24,3,30,205,"1","Sun",205,30,FALSE,FALSE,FALSE,"none"
2006-07-25,2006,7,25,3,30,206,"2","Mon",206,30,FALSE,FALSE,FALSE,"none"
2006-07-26,2006,7,26,3,30,207,"3","Tue",207,30,FALSE,FALSE,FALSE,"none"
2006-07-27,2006,7,27,3,30,208,"4","Wed",208,30,FALSE,FALSE,FALSE,"none"
2006-07-28,2006,7,28,3,30,209,"5","Thu",209,30,FALSE,FALSE,FALSE,"none"
2006-07-29,2006,7,29,3,30,210,"6","Fri",210,30,FALSE,FALSE,FALSE,"none"
2006-07-30,2006,7,30,3,31,211,"0","Sat",211,31,FALSE,FALSE,FALSE,"none"
2006-07-31,2006,7,31,3,31,212,"1","Sun",212,31,FALSE,FALSE,FALSE,"none"
2006-08-01,2006,8,1,3,31,213,"2","Mon",213,31,FALSE,FALSE,FALSE,"none"
2006-08-02,2006,8,2,3,31,214,"3","Tue",214,31,FALSE,FALSE,FALSE,"none"
2006-08-03,2006,8,3,3,31,215,"4","Wed",215,31,FALSE,FALSE,FALSE,"none"
2006-08-04,2006,8,4,3,31,216,"5","Thu",216,31,FALSE,FALSE,FALSE,"none"
2006-08-05,2006,8,5,3,31,217,"6","Fri",217,31,FALSE,FALSE,FALSE,"none"
2006-08-06,2006,8,6,3,32,218,"0","Sat",218,32,FALSE,FALSE,FALSE,"none"
2006-08-07,2006,8,7,3,32,219,"1","Sun",219,32,FALSE,FALSE,FALSE,"none"
2006-08-08,2006,8,8,3,32,220,"2","Mon",220,32,FALSE,FALSE,FALSE,"none"
2006-08-09,2006,8,9,3,32,221,"3","Tue",221,32,FALSE,FALSE,FALSE,"none"
2006-08-10,2006,8,10,3,32,222,"4","Wed",222,32,FALSE,FALSE,FALSE,"none"
2006-08-11,2006,8,11,3,32,223,"5","Thu",223,32,FALSE,FALSE,FALSE,"none"
2006-08-12,2006,8,12,3,32,224,"6","Fri",224,32,FALSE,FALSE,FALSE,"none"
2006-08-13,2006,8,13,3,33,225,"0","Sat",225,33,FALSE,FALSE,FALSE,"none"
2006-08-14,2006,8,14,3,33,226,"1","Sun",226,33,FALSE,FALSE,FALSE,"none"
2006-08-15,2006,8,15,3,33,227,"2","Mon",227,33,FALSE,FALSE,FALSE,"none"
2006-08-16,2006,8,16,3,33,228,"3","Tue",228,33,FALSE,FALSE,FALSE,"none"
2006-08-17,2006,8,17,3,33,229,"4","Wed",229,33,FALSE,FALSE,FALSE,"none"
2006-08-18,2006,8,18,3,33,230,"5","Thu",230,33,FALSE,FALSE,FALSE,"none"
2006-08-19,2006,8,19,3,33,231,"6","Fri",231,33,FALSE,FALSE,FALSE,"none"
2006-08-20,2006,8,20,3,34,232,"0","Sat",232,34,FALSE,FALSE,FALSE,"none"
2006-08-21,2006,8,21,3,34,233,"1","Sun",233,34,FALSE,FALSE,FALSE,"none"
2006-08-22,2006,8,22,3,34,234,"2","Mon",234,34,FALSE,FALSE,FALSE,"none"
2006-08-23,2006,8,23,3,34,235,"3","Tue",235,34,FALSE,FALSE,FALSE,"none"
2006-08-24,2006,8,24,3,34,236,"4","Wed",236,34,FALSE,FALSE,FALSE,"none"
2006-08-25,2006,8,25,3,34,237,"5","Thu",237,34,FALSE,FALSE,FALSE,"none"
2006-08-26,2006,8,26,3,34,238,"6","Fri",238,34,FALSE,FALSE,FALSE,"none"
2006-08-27,2006,8,27,3,35,239,"0","Sat",239,35,FALSE,FALSE,FALSE,"none"
2006-08-28,2006,8,28,3,35,240,"1","Sun",240,35,FALSE,FALSE,FALSE,"none"
2006-08-29,2006,8,29,3,35,241,"2","Mon",241,35,FALSE,FALSE,FALSE,"none"
2006-08-30,2006,8,30,3,35,242,"3","Tue",242,35,FALSE,FALSE,FALSE,"none"
2006-08-31,2006,8,31,3,35,243,"4","Wed",243,35,FALSE,FALSE,FALSE,"none"
2006-09-01,2006,9,1,3,35,244,"5","Thu",244,35,FALSE,FALSE,FALSE,"none"
2006-09-02,2006,9,2,3,35,245,"6","Fri",245,35,FALSE,FALSE,FALSE,"none"
2006-09-03,2006,9,3,3,36,246,"0","Sat",246,36,FALSE,FALSE,FALSE,"none"
2006-09-04,2006,9,4,3,36,247,"1","Sun",247,36,FALSE,FALSE,FALSE,"none"
2006-09-05,2006,9,5,3,36,248,"2","Mon",248,36,FALSE,FALSE,FALSE,"none"
2006-09-06,2006,9,6,3,36,249,"3","Tue",249,36,FALSE,FALSE,FALSE,"none"
2006-09-07,2006,9,7,3,36,250,"4","Wed",250,36,FALSE,FALSE,FALSE,"none"
2006-09-08,2006,9,8,3,36,251,"5","Thu",251,36,FALSE,FALSE,FALSE,"none"
2006-09-09,2006,9,9,3,36,252,"6","Fri",252,36,FALSE,FALSE,FALSE,"none"
2006-09-10,2006,9,10,3,37,253,"0","Sat",253,37,FALSE,FALSE,FALSE,"none"
2006-09-11,2006,9,11,3,37,254,"1","Sun",254,37,FALSE,FALSE,FALSE,"none"
2006-09-12,2006,9,12,3,37,255,"2","Mon",255,37,FALSE,FALSE,FALSE,"none"
2006-09-13,2006,9,13,3,37,256,"3","Tue",256,37,FALSE,FALSE,FALSE,"none"
2006-09-14,2006,9,14,3,37,257,"4","Wed",257,37,FALSE,FALSE,FALSE,"none"
2006-09-15,2006,9,15,3,37,258,"5","Thu",258,37,FALSE,FALSE,FALSE,"none"
2006-09-16,2006,9,16,3,37,259,"6","Fri",259,37,FALSE,FALSE,FALSE,"none"
2006-09-17,2006,9,17,3,38,260,"0","Sat",260,38,FALSE,FALSE,FALSE,"none"
2006-09-18,2006,9,18,3,38,261,"1","Sun",261,38,FALSE,FALSE,FALSE,"none"
2006-09-19,2006,9,19,3,38,262,"2","Mon",262,38,FALSE,FALSE,FALSE,"none"
2006-09-20,2006,9,20,3,38,263,"3","Tue",263,38,FALSE,FALSE,FALSE,"none"
2006-09-21,2006,9,21,3,38,264,"4","Wed",264,38,FALSE,FALSE,FALSE,"none"
2006-09-22,2006,9,22,3,38,265,"5","Thu",265,38,FALSE,FALSE,FALSE,"none"
2006-09-23,2006,9,23,3,38,266,"6","Fri",266,38,FALSE,FALSE,FALSE,"none"
2006-09-24,2006,9,24,3,39,267,"0","Sat",267,39,FALSE,FALSE,FALSE,"none"
2006-09-25,2006,9,25,3,39,268,"1","Sun",268,39,FALSE,FALSE,FALSE,"none"
2006-09-26,2006,9,26,3,39,269,"2","Mon",269,39,FALSE,FALSE,FALSE,"none"
2006-09-27,2006,9,27,3,39,270,"3","Tue",270,39,FALSE,FALSE,FALSE,"none"
2006-09-28,2006,9,28,3,39,271,"4","Wed",271,39,FALSE,FALSE,FALSE,"none"
2006-09-29,2006,9,29,3,39,272,"5","Thu",272,39,FALSE,FALSE,FALSE,"none"
2006-09-30,2006,9,30,3,39,273,"6","Fri",273,39,FALSE,FALSE,FALSE,"none"
2006-10-01,2006,10,1,4,40,274,"0","Sat",274,40,FALSE,FALSE,FALSE,"none"
2006-10-02,2006,10,2,4,40,275,"1","Sun",275,40,FALSE,FALSE,FALSE,"none"
2006-10-03,2006,10,3,4,40,276,"2","Mon",276,40,FALSE,FALSE,FALSE,"none"
2006-10-04,2006,10,4,4,40,277,"3","Tue",277,40,FALSE,FALSE,FALSE,"none"
