"id","longitude","latitude","cftype","dist_to_trap","trap_trap_name"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",18.5,"T002"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",20.4,"T002"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",15.3,"T002"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",14.2,"T002"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",12.6,"T002"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",8.8,"T002"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",9.7,"T002"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",7.5,"T002"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",6.7,"T002"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",5.1,"T002"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",10.2,"T002"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",10,"T002"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",10,"T002"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",8.5,"T002"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",8.1,"T002"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",1.7,"T002"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",7.7,"T002"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",19.7,"T002"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",8,"T002"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",2.3,"T002"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",11.3,"T007"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",8.8,"T007"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",7.8,"T007"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",7.9,"T007"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",7.5,"T007"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",7.2,"T007"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",4.3,"T007"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",5.3,"T007"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",16.2,"T007"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",18,"T007"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",10,"T007"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",13.1,"T007"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",9.5,"T007"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",9.7,"T007"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",10,"T007"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",10,"T007"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",9.9,"T007"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",10.5,"T007"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",8.7,"T007"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",7.6,"T007"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",7.4,"T007"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",7.3,"T007"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",8.8,"T007"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",16.4,"T007"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",16.6,"T007"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",16.8,"T007"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",19.1,"T007"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",19.9,"T007"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",22.4,"T007"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",16.6,"T007"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",15.5,"T007"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",13.8,"T007"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",10,"T007"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",11.1,"T007"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",6.6,"T007"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",5.4,"T007"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",3.9,"T007"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",10.5,"T007"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",10.3,"T007"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",10.3,"T007"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",8.1,"T007"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",8.1,"T007"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",3.6,"T007"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",5.8,"T007"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",21.2,"T007"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",7,"T007"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",2.5,"T007"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",11.3,"T015"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",7.9,"T015"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",8.3,"T015"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",8.8,"T015"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",8.6,"T015"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",9.3,"T015"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",5.5,"T015"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",3.9,"T015"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",15.7,"T015"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",18.6,"T015"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",10.7,"T015"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",14.1,"T015"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",10.1,"T015"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",10.3,"T015"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",10.7,"T015"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",10.7,"T015"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",10.2,"T015"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",10.6,"T015"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",8.8,"T015"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",6.9,"T015"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",8.5,"T015"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",8.1,"T015"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",7.9,"T015"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",16.5,"T015"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",16.8,"T015"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",16.8,"T015"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",19.6,"T015"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",20.4,"T015"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",22.1,"T015"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",17.2,"T015"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",16.1,"T015"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",14.5,"T015"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",10.7,"T015"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",11.6,"T015"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",9,"T015"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",8,"T015"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",6.4,"T015"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",12,"T015"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",11.8,"T015"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",11.8,"T015"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",10.1,"T015"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",9.9,"T015"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",3.6,"T015"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",8.8,"T015"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",21.6,"T015"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",9.5,"T015"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",0.9,"T015"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",5.8,"T045"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",6.2,"T045"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",3,"T045"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",1.7,"T045"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",1.4,"T045"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",1.4,"T045"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",3.5,"T045"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",6.6,"T045"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",10.8,"T045"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",10.9,"T045"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",3.6,"T045"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",5.9,"T045"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",3.2,"T045"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",3.5,"T045"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",3.6,"T045"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",3.6,"T045"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",4.2,"T045"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",5,"T045"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",3.9,"T045"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",5.5,"T045"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",1.5,"T045"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",2,"T045"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",6.2,"T045"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",10,"T045"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",10.1,"T045"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",10.6,"T045"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",12.2,"T045"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",12.9,"T045"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",16.1,"T045"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",9.7,"T045"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",8.6,"T045"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",6.9,"T045"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",3.6,"T045"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",4.5,"T045"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",2.5,"T045"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",3.5,"T045"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",4,"T045"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",3.1,"T045"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",2.9,"T045"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",2.9,"T045"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",1.9,"T045"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",1.1,"T045"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",5.5,"T045"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",5,"T045"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",14.3,"T045"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",2.8,"T045"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",8.9,"T045"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",3.6,"T046"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",4,"T046"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",0.9,"T046"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",0.7,"T046"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",1,"T046"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",3.8,"T046"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",3.9,"T046"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",5.7,"T046"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",8.6,"T046"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",9.8,"T046"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",1.8,"T046"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",5.2,"T046"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",1.3,"T046"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",1.6,"T046"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",1.8,"T046"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",1.8,"T046"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",2,"T046"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",2.7,"T046"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",1.5,"T046"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",3.7,"T046"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",1,"T046"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",0.9,"T046"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",4,"T046"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",8.3,"T046"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",8.4,"T046"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",8.8,"T046"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",11,"T046"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",11.7,"T046"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",14.3,"T046"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",8.4,"T046"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",7.3,"T046"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",5.7,"T046"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",1.8,"T046"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",2.9,"T046"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",4.8,"T046"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",5.7,"T046"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",5.6,"T046"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",3.8,"T046"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",3.6,"T046"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",3.6,"T046"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",4.2,"T046"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",3.2,"T046"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",5.3,"T046"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",7.2,"T046"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",13,"T046"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",5.2,"T046"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",9.1,"T046"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",2.8,"T048"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",5.6,"T048"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",3.3,"T048"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",2.8,"T048"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",3.2,"T048"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",4.9,"T048"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",6.4,"T048"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",8.2,"T048"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",7.2,"T048"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",7.3,"T048"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",0.9,"T048"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",2.7,"T048"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",1.5,"T048"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",1.3,"T048"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",0.9,"T048"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",0.9,"T048"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",2,"T048"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",2.4,"T048"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",3.1,"T048"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",5.7,"T048"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",3.2,"T048"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",3.5,"T048"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",5.6,"T048"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",6.2,"T048"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",6.2,"T048"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",6.8,"T048"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",8.5,"T048"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",9.2,"T048"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",12.3,"T048"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",6,"T048"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",4.9,"T048"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",3.2,"T048"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",0.9,"T048"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",0.9,"T048"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",6.1,"T048"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",7.3,"T048"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",7.7,"T048"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",2.7,"T048"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",2.6,"T048"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",2.6,"T048"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",4.8,"T048"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",4,"T048"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",7.9,"T048"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",8.8,"T048"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",10.6,"T048"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",6.4,"T048"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",11.7,"T048"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",4.4,"T049"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",5.8,"T049"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",2.7,"T049"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",1.5,"T049"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",1.7,"T049"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",2.9,"T049"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",4.9,"T049"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",7.4,"T049"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",9.1,"T049"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",9.1,"T049"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",2,"T049"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",4.1,"T049"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",1.9,"T049"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",2.1,"T049"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",2,"T049"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",2,"T049"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",2.9,"T049"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",3.6,"T049"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",3.2,"T049"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",5.5,"T049"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",1.8,"T049"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",2.2,"T049"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",5.8,"T049"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",8.2,"T049"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",8.2,"T049"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",8.8,"T049"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",10.4,"T049"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",11.1,"T049"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",14.3,"T049"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",7.8,"T049"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",6.8,"T049"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",5,"T049"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",2,"T049"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",2.8,"T049"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",4.1,"T049"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",5.3,"T049"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",5.8,"T049"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",2,"T049"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",1.8,"T049"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",1.8,"T049"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",2.9,"T049"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",2,"T049"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",6.6,"T049"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",6.7,"T049"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",12.5,"T049"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",4.4,"T049"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",10.3,"T049"
