"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"11","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-13",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,"T,,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"12","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-14",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"13","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-15",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"14","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-19",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"15","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-20",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.56,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"16","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-21",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"17","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-22",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"18","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-23",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"19","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-24",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"20","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-25",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.01,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"21","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-26",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.03,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"22","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-27",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,"T,,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"23","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-28",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,"T,,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"24","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-29",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,"T,,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"25","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-30",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,"T,,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"26","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-01-31",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"27","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-01",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"28","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-02",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"29","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-03",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"30","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-04",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"31","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-05",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"32","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-06",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"33","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-07",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.51,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"34","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-08",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.33,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"35","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-09",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"36","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-10",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"37","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-11",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"38","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-12",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"39","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-13",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"40","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-14",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"41","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-15",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"42","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-16",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"43","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-17",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"44","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-18",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"45","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-19",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"46","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-20",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"47","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-23",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"48","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-24",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.23,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"49","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-25",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.01,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"50","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-26",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,"T,,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"51","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-02-27",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"52","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-03-02",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.06,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"53","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-03-05",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"54","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-03-06",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"55","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-03-07",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.13,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"56","US1ILCK0036","CHICAGO 4.7 NE, IL US",41.886,-87.621,191.1,"2017-03-08",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,",,N",NA,"",NA,"",0,",,N",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
