"Property.Address","nrows","min.issued.date","max.issued.date","city","state","zip","addr.nbr","addr.street.and.dir","addr.dir","addr.street","addr.end","st.name.pot","address.one.line","google.call","seqn","json","status","result.cnt","place.id","formatted.address","lat","lng","route","locality","administrative_area_level_2","administrative_area_level_1","country","row.name","street_number","neighborhood","postal_code","postal_code_suffix","administrative_area_level_3","intersection","bus_station"
"2731 S HOMAN ",6,2016-08-17,2016-08-17,"Chicago","IL",NA,2731,"S HOMAN","S","HOMAN","HOMAN",NA,"2731+S+HOMAN+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2731+S+HOMAN+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2731"", ""South Homan Avenue"", ""South Lawndale"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60623"", ""4619""), short_name = c(""2731"", ""S Homan Ave"", ""South Lawndale"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60623"", ""4619""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), 
    ""postal_code"", ""postal_code_suffix""))), formatted_address = ""2731 S Homan Ave, Chicago, IL 60623, USA"", geometry = list(bounds = list(northeast = list(lat = 41.841711, lng = -87.7095459), southwest = list(lat = 41.8416501, lng = -87.7096906)), location = list(lat = 41.8416847, lng = -87.7096221), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8430295302915, lng = -87.7082692697085), southwest = list(lat = 41.8403315697085, lng = -87.7109672302915))), place_id = ""ChIJb0EJ0m0yDogRZYDrzzkqbZE"", 
    types = list(""premise""))","OK",1,"ChIJb0EJ0m0yDogRZYDrzzkqbZE","2731 S Homan Ave, Chicago, IL 60623, USA",41.8416847,-87.7096221,"S Homan Ave","Chicago","Cook County","IL","US","short_name","2731","South Lawndale","60623","4619",NA,NA,NA
"2734 W 35TH PL ",6,2013-01-11,2013-01-11,"Chicago","IL",NA,2734,"W 35TH PL","W","35TH","PL","PL","2734+W+35TH+PL+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2734+W+35TH+PL+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2734"", ""West 35th Place"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60632"", ""1608""), short_name = c(""2734"", ""W 35th Pl"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60632"", ""1608""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2734 W 35th Pl, Chicago, IL 60632, USA"", geometry = list(location = list(lat = 41.8293442, lng = -87.6937429), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8306931802915, lng = -87.6923939197085), southwest = list(lat = 41.8279952197085, lng = -87.6950918802915))), place_id = ""ChIJcc7tIPctDogRbG6I1NZ0gFY"", plus_code = list(compound_code = ""R8H4+PG Chicago, Illinois, United States"", global_code = ""86HJR8H4+PG""), types = list(
    ""street_address""))","OK",1,"ChIJcc7tIPctDogRbG6I1NZ0gFY","2734 W 35th Pl, Chicago, IL 60632, USA",41.8293442,-87.6937429,"W 35th Pl","Chicago","Cook County","IL","US","short_name","2734","Brighton Park","60632","1608",NA,NA,NA
"2744 S THROOP ",6,2014-04-21,2014-04-21,"Chicago","IL",NA,2744,"S THROOP","S","THROOP","THROOP",NA,"2744+S+THROOP+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2744+S+THROOP+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2744"", ""South Throop Street"", ""Bridgeport"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60608"", ""5716""), short_name = c(""2744"", ""S Throop St"", ""Bridgeport"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60608"", ""5716""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2744 S Throop St, Chicago, IL 60608, USA"", geometry = list(location = list(lat = 41.843576, lng = -87.654542), location_type = ""RANGE_INTERPOLATED"", viewport = list(northeast = list(lat = 41.8449249802915, lng = -87.6531930197085), southwest = list(lat = 41.8422270197085, lng = -87.6558909802915))), place_id = ""EigyNzQ0IFMgVGhyb29wIFN0LCBDaGljYWdvLCBJTCA2MDYwOCwgVVNBIhsSGQoUChIJy3Q1u00sDogR7txyRYIY0rEQuBU"", types = list(""street_address""))","OK",1,"EigyNzQ0IFMgVGhyb29wIFN0LCBDaGljYWdvLCBJTCA2MDYwOCwgVVNBIhsSGQoUChIJy3Q1u00sDogR7txyRYIY0rEQuBU","2744 S Throop St, Chicago, IL 60608, USA",41.843576,-87.654542,"S Throop St","Chicago","Cook County","IL","US","short_name","2744","Bridgeport","60608","5716",NA,NA,NA
"2750 S SPAULDING ",2,2014-10-17,2014-10-17,"Chicago","IL",NA,2750,"S SPAULDING","S","SPAULDING","SPAULDING",NA,"2750+S+SPAULDING+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2750+S+SPAULDING+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2750"", ""South Spaulding Avenue"", ""South Lawndale"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60623"", ""4752""), short_name = c(""2750"", ""S Spaulding Ave"", ""South Lawndale"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60623"", ""4752""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""
), ""postal_code"", ""postal_code_suffix""))), formatted_address = ""2750 S Spaulding Ave, Chicago, IL 60623, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8411902, lng = -87.7075584), southwest = list(lat = 41.8411312, lng = -87.7076985)), location = list(lat = 41.8411698, lng = -87.7076302), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8425096802915, lng = -87.7062794697085), southwest = list(lat = 41.8398117197085, lng = -87.7089774302915))), place_id = ""ChIJr6PF8m0yDogRxRsMtWGQEts"", 
    types = list(""premise""))","OK",1,"ChIJr6PF8m0yDogRxRsMtWGQEts","2750 S Spaulding Ave, Chicago, IL 60623, USA",41.8411698,-87.7076302,"S Spaulding Ave","Chicago","Cook County","IL","US","short_name","2750","South Lawndale","60623","4752",NA,NA,NA
"2802 E 78TH ",6,2015-04-17,2015-04-17,"Chicago","IL",NA,2802,"E 78TH","E","78TH","78TH",NA,"2802+E+78TH+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2802+E+78TH+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2802"", ""East 78th Street"", ""South Shore"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60649"", ""5224""), short_name = c(""2802"", ""E 78th St"", ""South Shore"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60649"", ""5224""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2802 E 78th St, Chicago, IL 60649, USA"", geometry = list(bounds = list(northeast = list(lat = 41.7539267, lng = -87.5566826), southwest = list(lat = 41.7537814, lng = -87.556781)), location = list(lat = 41.7538614, lng = -87.556716), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.7552030302915, lng = -87.5553828197085), southwest = list(lat = 41.7525050697085, lng = -87.5580807802915))), place_id = ""ChIJnyRTnBUoDogRxgskZvHHtXI"", 
    types = list(""premise""))","OK",1,"ChIJnyRTnBUoDogRxgskZvHHtXI","2802 E 78th St, Chicago, IL 60649, USA",41.7538614,-87.556716,"E 78th St","Chicago","Cook County","IL","US","short_name","2802","South Shore","60649","5224",NA,NA,NA
"2813 W 72ND ",6,2016-08-29,2016-08-29,"Chicago","IL",NA,2813,"W 72ND","W","72ND","72ND",NA,"2813+W+72ND+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2813+W+72ND+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2813"", ""West 72nd Street"", ""Chicago Lawn"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60629""), short_name = c(""2813"", ""W 72nd St"", ""Chicago Lawn"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60629""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code""))), formatted_address = ""2813 W 72nd St, Chicago, IL 60629, USA"", 
    geometry = list(location = list(lat = 41.7625587, lng = -87.6934872), location_type = ""RANGE_INTERPOLATED"", viewport = list(northeast = list(lat = 41.7639076802915, lng = -87.6921382197085), southwest = list(lat = 41.7612097197085, lng = -87.6948361802915))), place_id = ""EiYyODEzIFcgNzJuZCBTdCwgQ2hpY2FnbywgSUwgNjA2MjksIFVTQSIbEhkKFAoSCYd-8E3ZLw6IEdG-nbJ2_I3zEP0V"", types = list(""street_address""))","OK",1,"EiYyODEzIFcgNzJuZCBTdCwgQ2hpY2FnbywgSUwgNjA2MjksIFVTQSIbEhkKFAoSCYd-8E3ZLw6IEdG-nbJ2_I3zEP0V","2813 W 72nd St, Chicago, IL 60629, USA",41.7625587,-87.6934872,"W 72nd St","Chicago","Cook County","IL","US","short_name","2813","Chicago Lawn","60629",NA,NA,NA,NA
"2818 W ARTHINGTON ",6,2013-08-01,2014-06-06,"Chicago","IL",NA,2818,"W ARTHINGTON","W","ARTHINGTON","ARTHINGTON",NA,"2818+W+ARTHINGTON+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2818+W+ARTHINGTON+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2818"", ""West Arthington Street"", ""Garfield Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60612"", ""4002""), short_name = c(""2818"", ""W Arthington St"", ""Garfield Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60612"", ""4002""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""
), ""postal_code"", ""postal_code_suffix""))), formatted_address = ""2818 W Arthington St, Chicago, IL 60612, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8703994, lng = -87.6967741), southwest = list(lat = 41.8702454, lng = -87.69688)), location = list(lat = 41.8703276, lng = -87.6968326), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8716713802915, lng = -87.6954780697085), southwest = list(lat = 41.8689734197085, lng = -87.6981760302915))), place_id = ""ChIJk0DEbWItDogR_lNqTuchfcs"", 
    types = list(""premise""))","OK",1,"ChIJk0DEbWItDogR_lNqTuchfcs","2818 W Arthington St, Chicago, IL 60612, USA",41.8703276,-87.6968326,"W Arthington St","Chicago","Cook County","IL","US","short_name","2818","Garfield Park","60612","4002",NA,NA,NA
"2824 E 130TH ",16,2015-02-07,2016-03-26,"Chicago","IL",NA,2824,"E 130TH","E","130TH","130TH",NA,"2824+E+130TH+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2824+E+130TH+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2824"", ""East 130th Street"", ""Hegewisch"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60633"", ""1214""), short_name = c(""2824"", ""E 130th St"", ""Hegewisch"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60633"", ""1214""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2824 E 130th St, Chicago, IL 60633, USA"", geometry = list(bounds = list(northeast = list(lat = 41.6595154, lng = -87.5545324), southwest = list(lat = 41.6593767, lng = -87.5546267)), location = list(lat = 41.6594273, lng = -87.554592), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.6607950302915, lng = -87.5532305697085), southwest = list(lat = 41.6580970697085, lng = -87.5559285302915))), place_id = ""ChIJI53S-UsnDogRsld6RJndUok"", 
    types = list(""premise""))","OK",1,"ChIJI53S-UsnDogRsld6RJndUok","2824 E 130th St, Chicago, IL 60633, USA",41.6594273,-87.554592,"E 130th St","Chicago","Cook County","IL","US","short_name","2824","Hegewisch","60633","1214",NA,NA,NA
"2824 E 130TH ST ",6,2016-03-26,2016-03-26,"Chicago","IL",NA,2824,"E 130TH ST","E","130TH","ST","ST","2824+E+130TH+ST+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2824+E+130TH+ST+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2824"", ""East 130th Street"", ""Hegewisch"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60633"", ""1214""), short_name = c(""2824"", ""E 130th St"", ""Hegewisch"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60633"", ""1214""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2824 E 130th St, Chicago, IL 60633, USA"", geometry = list(bounds = list(northeast = list(lat = 41.6595154, lng = -87.5545324), southwest = list(lat = 41.6593767, lng = -87.5546267)), location = list(lat = 41.6594273, lng = -87.554592), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.6607950302915, lng = -87.5532305697085), southwest = list(lat = 41.6580970697085, lng = -87.5559285302915))), place_id = ""ChIJI53S-UsnDogRsld6RJndUok"", 
    types = list(""premise""))","OK",1,"ChIJI53S-UsnDogRsld6RJndUok","2824 E 130th St, Chicago, IL 60633, USA",41.6594273,-87.554592,"E 130th St","Chicago","Cook County","IL","US","short_name","2824","Hegewisch","60633","1214",NA,NA,NA
"2824 W 36TH ",12,2015-07-10,2017-06-25,"Chicago","IL",NA,2824,"W 36TH","W","36TH","36TH",NA,"2824+W+36TH+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2824+W+36TH+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2824"", ""West 36th Street"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60632"", ""1702""), short_name = c(""2824"", ""W 36th St"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60632"", ""1702""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2824 W 36th St, Chicago, IL 60632, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8285229, lng = -87.6957938), southwest = list(lat = 41.82837, lng = -87.6958827)), location = list(lat = 41.8284538, lng = -87.6958322), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8297954302915, lng = -87.6944892697085), southwest = list(lat = 41.8270974697085, lng = -87.6971872302915))), place_id = ""ChIJKQMUvfctDogRbwSX-zNkFKA"", 
    types = list(""premise""))","OK",1,"ChIJKQMUvfctDogRbwSX-zNkFKA","2824 W 36th St, Chicago, IL 60632, USA",41.8284538,-87.6958322,"W 36th St","Chicago","Cook County","IL","US","short_name","2824","Brighton Park","60632","1702",NA,NA,NA
"2824 W 36TH PL ",10,2017-10-02,2018-03-05,"Chicago","IL",NA,2824,"W 36TH PL","W","36TH","PL","PL","2824+W+36TH+PL+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2824+W+36TH+PL+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2824"", ""West 36th Place"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60632"", ""1705""), short_name = c(""2824"", ""W 36th Pl"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60632"", ""1705""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2824 W 36th Pl, Chicago, IL 60632, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8275557, lng = -87.6957444), southwest = list(lat = 41.8274594, lng = -87.6958295)), location = list(lat = 41.8275201, lng = -87.6957914), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8288565302915, lng = -87.6944379697085), southwest = list(lat = 41.8261585697085, lng = -87.6971359302915))), place_id = ""ChIJycCChfctDogR6RgVp455qTM"", 
    types = list(""premise""))","OK",1,"ChIJycCChfctDogR6RgVp455qTM","2824 W 36th Pl, Chicago, IL 60632, USA",41.8275201,-87.6957914,"W 36th Pl","Chicago","Cook County","IL","US","short_name","2824","Brighton Park","60632","1705",NA,NA,NA
"2824 W 39TH ",6,2015-05-15,2015-05-15,"Chicago","IL",NA,2824,"W 39TH","W","39TH","39TH",NA,"2824+W+39TH+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2824+W+39TH+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2824"", ""West 39th Place"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60632"", ""1802""), short_name = c(""2824"", ""W 39th Pl"", ""Brighton Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60632"", ""1802""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2824 W 39th Pl, Chicago, IL 60632, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8221357, lng = -87.6956576), southwest = list(lat = 41.8220075, lng = -87.6957368)), location = list(lat = 41.8220823, lng = -87.6956867), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8234205802915, lng = -87.6943482197085), southwest = list(lat = 41.8207226197085, lng = -87.6970461802915))), place_id = ""ChIJdaxfLf8tDogRjcf7nyDnQKk"", 
    types = list(""premise""))","OK",1,"ChIJdaxfLf8tDogRjcf7nyDnQKk","2824 W 39th Pl, Chicago, IL 60632, USA",41.8220823,-87.6956867,"W 39th Pl","Chicago","Cook County","IL","US","short_name","2824","Brighton Park","60632","1802",NA,NA,NA
"2826 W FULTON ",6,2017-10-10,2017-10-10,"Chicago","IL",NA,2826,"W FULTON","W","FULTON","FULTON",NA,"2826+W+FULTON+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2826+W+FULTON+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2826"", ""West Fulton Street"", ""East Garfield Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60612"", ""1706""), short_name = c(""2826"", ""W Fulton St"", ""East Garfield Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60612"", ""1706""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""
), ""postal_code"", ""postal_code_suffix""))), formatted_address = ""2826 W Fulton St, Chicago, IL 60612, USA"", geometry = list(bounds = list(northeast = list(lat = 41.886811, lng = -87.6975268), southwest = list(lat = 41.886639, lng = -87.697598)), location = list(lat = 41.8867412, lng = -87.6975732), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8880739802915, lng = -87.6962134197085), southwest = list(lat = 41.8853760197085, lng = -87.6989113802915))), place_id = ""ChIJsX3__6cyDogRbu5HQixmVq0"", 
    types = list(""premise""))","OK",1,"ChIJsX3__6cyDogRbu5HQixmVq0","2826 W Fulton St, Chicago, IL 60612, USA",41.8867412,-87.6975732,"W Fulton St","Chicago","Cook County","IL","US","short_name","2826","East Garfield Park","60612","1706",NA,NA,NA
"2827 W 65TH ",6,2012-04-20,2012-04-20,"Chicago","IL",NA,2827,"W 65TH","W","65TH","65TH",NA,"2827+W+65TH+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2827+W+65TH+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2827"", ""West 65th Place"", ""Chicago Lawn"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60629"", ""3417""), short_name = c(""2827"", ""W 65th Pl"", ""Chicago Lawn"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60629"", ""3417""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2827 W 65th Pl, Chicago, IL 60629, USA"", geometry = list(location = list(lat = 41.7741957, lng = -87.7031829), location_type = ""RANGE_INTERPOLATED"", viewport = list(northeast = list(lat = 41.7755446802915, lng = -87.7018339197085), southwest = list(lat = 41.7728467197085, lng = -87.7045318802915))), place_id = ""EiYyODI3IFcgNjV0aCBQbCwgQ2hpY2FnbywgSUwgNjA2MjksIFVTQSIbEhkKFAoSCccaOUUsMA6IET028ID56mrFEIsW"", types = list(""street_address""))","OK",1,"EiYyODI3IFcgNjV0aCBQbCwgQ2hpY2FnbywgSUwgNjA2MjksIFVTQSIbEhkKFAoSCccaOUUsMA6IET028ID56mrFEIsW","2827 W 65th Pl, Chicago, IL 60629, USA",41.7741957,-87.7031829,"W 65th Pl","Chicago","Cook County","IL","US","short_name","2827","Chicago Lawn","60629","3417",NA,NA,NA
"2830 W FILLMORE ",4,2011-05-25,2011-05-25,"Chicago","IL",NA,2830,"W FILLMORE","W","FILLMORE","FILLMORE",NA,"2830+W+FILLMORE+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2830+W+FILLMORE+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2830"", ""West Fillmore Street"", ""North Lawndale"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60612"", ""4028""), short_name = c(""2830"", ""W Fillmore St"", ""North Lawndale"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60612"", ""4028""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""
), ""postal_code"", ""postal_code_suffix""))), formatted_address = ""2830 W Fillmore St, Chicago, IL 60612, USA"", geometry = list(location = list(lat = 41.8684053, lng = -87.6971948), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8697542802915, lng = -87.6958458197085), southwest = list(lat = 41.8670563197085, lng = -87.6985437802915))), place_id = ""ChIJvf9YmWItDogREqSsPaKb65Y"", plus_code = list(compound_code = ""V893+94 Chicago, Illinois, United States"", global_code = ""86HJV893+94""), 
    types = list(""street_address""))","OK",1,"ChIJvf9YmWItDogREqSsPaKb65Y","2830 W Fillmore St, Chicago, IL 60612, USA",41.8684053,-87.6971948,"W Fillmore St","Chicago","Cook County","IL","US","short_name","2830","North Lawndale","60612","4028",NA,NA,NA
"2832 W POLK ",4,2012-07-30,2012-07-30,"Chicago","IL",NA,2832,"W POLK","W","POLK","POLK",NA,"2832+W+POLK+Chicago,IL","https://maps.googleapis.com/maps/api/geocode/json?address=2832+W+POLK+Chicago,IL&key=AIzaSyCJdnRf5aQd3QEXPpL--L79kd9B0z8rs4U",1,"list(address_components = list(list(long_name = c(""2832"", ""West Polk Street"", ""Garfield Park"", ""Chicago"", ""Cook County"", ""Illinois"", ""United States"", ""60612"", ""4008""), short_name = c(""2832"", ""W Polk St"", ""Garfield Park"", ""Chicago"", ""Cook County"", ""IL"", ""US"", ""60612"", ""4008""), types = list(""street_number"", ""route"", c(""neighborhood"", ""political""), c(""locality"", ""political""), c(""administrative_area_level_2"", ""political""), c(""administrative_area_level_1"", ""political""), c(""country"", ""political""), ""postal_code"", 
    ""postal_code_suffix""))), formatted_address = ""2832 W Polk St, Chicago, IL 60612, USA"", geometry = list(bounds = list(northeast = list(lat = 41.8713301, lng = -87.6973533), southwest = list(lat = 41.8711671, lng = -87.6974376)), location = list(lat = 41.8712305, lng = -87.6974111), location_type = ""ROOFTOP"", viewport = list(northeast = list(lat = 41.8725975802915, lng = -87.6960464697085), southwest = list(lat = 41.8698996197085, lng = -87.6987444302915))), place_id = ""ChIJNaHSB2ItDogR2wrSA4Kh6RU"", 
    types = list(""premise""))","OK",1,"ChIJNaHSB2ItDogR2wrSA4Kh6RU","2832 W Polk St, Chicago, IL 60612, USA",41.8712305,-87.6974111,"W Polk St","Chicago","Cook County","IL","US","short_name","2832","Garfield Park","60612","4008",NA,NA,NA
